!amt_annotation_ids,!amt_worker_ids,orig_id,response,gold,start,end,event1,event2,text
15,AUPV5WJK85K4F,11_1,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,"<font color=""blue"">fell</font>","<font color=""orange"">reflect</font>","<p>Aetna Life amp Casualty Co.'s third-quarter net income <b><u><font color=""blue"">fell</font></u></b> 22%: to $182.6 million, or $1.63 a share, reflecting the damages from Hurricane Hugo and lower results for some of the company's major divisions. <br></br>Catastrophe losses <b><u><font color=""green"">reduced</font></u></b> Aetna's net income by $50 million, including $36 million from Hugo. <br></br>Last year catastrophe losses totaled $5 million, when net was $235.5 million, or $2.07 a share. <br></br>The year-earlier results have been restated to <b><u><font color=""orange"">reflect</font></u></b> an accounting change. <br></br>The insurer has <b><u><font color=""red"">started</font></u></b> processing claims from the Northern California earthquake nearly two weeks ago. <br></br>But because these claims are more difficult to evaluate and have been <b><u><font color=""purple"">coming</font></u></b> in more slowly, the company <b><u><font color=""brown"">has</font></u></b> no estimate of the impact of the earthquake on fourth-quarter results. <br></br>In New York Stock Exchange composite trading Friday, Aetna closed at $60, down 50 cents. <br></br>In the latest quarter, Aetna had a $23 million loss on its auto\/homeowners line, compared with earnings of $33 million last year. <br></br>Profit for its commercial insurance division fell 30%: to $59 million, reflecting higher catastrophe losses and the price war in the property\/casualty market for nearly three years. <br></br>However, Aetna's employee benefits division, which includes its group health insurance operations, posted a 34%: profit gain to $106 million. <br></br>Third-quarter results included net realized capital gains of $48 million, which included $27 million from the sale of Federated Investors in August and a $15 million tax credit. <br></br>In the nine months, net rose 4.3%: to $525.8 million or $4.67 a share, from $504.2 million, or $4.41 a share, last year. <br></br></p>"
16,AYHHOK9GDSWNH,11_1,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,"<font color=""blue"">fell</font>","<font color=""orange"">reflect</font>","<p>Aetna Life amp Casualty Co.'s third-quarter net income <b><u><font color=""blue"">fell</font></u></b> 22%: to $182.6 million, or $1.63 a share, reflecting the damages from Hurricane Hugo and lower results for some of the company's major divisions. <br></br>Catastrophe losses <b><u><font color=""green"">reduced</font></u></b> Aetna's net income by $50 million, including $36 million from Hugo. <br></br>Last year catastrophe losses totaled $5 million, when net was $235.5 million, or $2.07 a share. <br></br>The year-earlier results have been restated to <b><u><font color=""orange"">reflect</font></u></b> an accounting change. <br></br>The insurer has <b><u><font color=""red"">started</font></u></b> processing claims from the Northern California earthquake nearly two weeks ago. <br></br>But because these claims are more difficult to evaluate and have been <b><u><font color=""purple"">coming</font></u></b> in more slowly, the company <b><u><font color=""brown"">has</font></u></b> no estimate of the impact of the earthquake on fourth-quarter results. <br></br>In New York Stock Exchange composite trading Friday, Aetna closed at $60, down 50 cents. <br></br>In the latest quarter, Aetna had a $23 million loss on its auto\/homeowners line, compared with earnings of $33 million last year. <br></br>Profit for its commercial insurance division fell 30%: to $59 million, reflecting higher catastrophe losses and the price war in the property\/casualty market for nearly three years. <br></br>However, Aetna's employee benefits division, which includes its group health insurance operations, posted a 34%: profit gain to $106 million. <br></br>Third-quarter results included net realized capital gains of $48 million, which included $27 million from the sale of Federated Investors in August and a $15 million tax credit. <br></br>In the nine months, net rose 4.3%: to $525.8 million or $4.67 a share, from $504.2 million, or $4.41 a share, last year. <br></br></p>"
17,A3PIXX8DQGYHGI,11_1,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,"<font color=""blue"">fell</font>","<font color=""orange"">reflect</font>","<p>Aetna Life amp Casualty Co.'s third-quarter net income <b><u><font color=""blue"">fell</font></u></b> 22%: to $182.6 million, or $1.63 a share, reflecting the damages from Hurricane Hugo and lower results for some of the company's major divisions. <br></br>Catastrophe losses <b><u><font color=""green"">reduced</font></u></b> Aetna's net income by $50 million, including $36 million from Hugo. <br></br>Last year catastrophe losses totaled $5 million, when net was $235.5 million, or $2.07 a share. <br></br>The year-earlier results have been restated to <b><u><font color=""orange"">reflect</font></u></b> an accounting change. <br></br>The insurer has <b><u><font color=""red"">started</font></u></b> processing claims from the Northern California earthquake nearly two weeks ago. <br></br>But because these claims are more difficult to evaluate and have been <b><u><font color=""purple"">coming</font></u></b> in more slowly, the company <b><u><font color=""brown"">has</font></u></b> no estimate of the impact of the earthquake on fourth-quarter results. <br></br>In New York Stock Exchange composite trading Friday, Aetna closed at $60, down 50 cents. <br></br>In the latest quarter, Aetna had a $23 million loss on its auto\/homeowners line, compared with earnings of $33 million last year. <br></br>Profit for its commercial insurance division fell 30%: to $59 million, reflecting higher catastrophe losses and the price war in the property\/casualty market for nearly three years. <br></br>However, Aetna's employee benefits division, which includes its group health insurance operations, posted a 34%: profit gain to $106 million. <br></br>Third-quarter results included net realized capital gains of $48 million, which included $27 million from the sale of Federated Investors in August and a $15 million tax credit. <br></br>In the nine months, net rose 4.3%: to $525.8 million or $4.67 a share, from $504.2 million, or $4.41 a share, last year. <br></br></p>"
18,A11GX90QFWDLMM,11_1,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,"<font color=""blue"">fell</font>","<font color=""orange"">reflect</font>","<p>Aetna Life amp Casualty Co.'s third-quarter net income <b><u><font color=""blue"">fell</font></u></b> 22%: to $182.6 million, or $1.63 a share, reflecting the damages from Hurricane Hugo and lower results for some of the company's major divisions. <br></br>Catastrophe losses <b><u><font color=""green"">reduced</font></u></b> Aetna's net income by $50 million, including $36 million from Hugo. <br></br>Last year catastrophe losses totaled $5 million, when net was $235.5 million, or $2.07 a share. <br></br>The year-earlier results have been restated to <b><u><font color=""orange"">reflect</font></u></b> an accounting change. <br></br>The insurer has <b><u><font color=""red"">started</font></u></b> processing claims from the Northern California earthquake nearly two weeks ago. <br></br>But because these claims are more difficult to evaluate and have been <b><u><font color=""purple"">coming</font></u></b> in more slowly, the company <b><u><font color=""brown"">has</font></u></b> no estimate of the impact of the earthquake on fourth-quarter results. <br></br>In New York Stock Exchange composite trading Friday, Aetna closed at $60, down 50 cents. <br></br>In the latest quarter, Aetna had a $23 million loss on its auto\/homeowners line, compared with earnings of $33 million last year. <br></br>Profit for its commercial insurance division fell 30%: to $59 million, reflecting higher catastrophe losses and the price war in the property\/casualty market for nearly three years. <br></br>However, Aetna's employee benefits division, which includes its group health insurance operations, posted a 34%: profit gain to $106 million. <br></br>Third-quarter results included net realized capital gains of $48 million, which included $27 million from the sale of Federated Investors in August and a $15 million tax credit. <br></br>In the nine months, net rose 4.3%: to $525.8 million or $4.67 a share, from $504.2 million, or $4.41 a share, last year. <br></br></p>"
19,A18941IO2ZZWW6,11_1,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,"<font color=""blue"">fell</font>","<font color=""orange"">reflect</font>","<p>Aetna Life amp Casualty Co.'s third-quarter net income <b><u><font color=""blue"">fell</font></u></b> 22%: to $182.6 million, or $1.63 a share, reflecting the damages from Hurricane Hugo and lower results for some of the company's major divisions. <br></br>Catastrophe losses <b><u><font color=""green"">reduced</font></u></b> Aetna's net income by $50 million, including $36 million from Hugo. <br></br>Last year catastrophe losses totaled $5 million, when net was $235.5 million, or $2.07 a share. <br></br>The year-earlier results have been restated to <b><u><font color=""orange"">reflect</font></u></b> an accounting change. <br></br>The insurer has <b><u><font color=""red"">started</font></u></b> processing claims from the Northern California earthquake nearly two weeks ago. <br></br>But because these claims are more difficult to evaluate and have been <b><u><font color=""purple"">coming</font></u></b> in more slowly, the company <b><u><font color=""brown"">has</font></u></b> no estimate of the impact of the earthquake on fourth-quarter results. <br></br>In New York Stock Exchange composite trading Friday, Aetna closed at $60, down 50 cents. <br></br>In the latest quarter, Aetna had a $23 million loss on its auto\/homeowners line, compared with earnings of $33 million last year. <br></br>Profit for its commercial insurance division fell 30%: to $59 million, reflecting higher catastrophe losses and the price war in the property\/casualty market for nearly three years. <br></br>However, Aetna's employee benefits division, which includes its group health insurance operations, posted a 34%: profit gain to $106 million. <br></br>Third-quarter results included net realized capital gains of $48 million, which included $27 million from the sale of Federated Investors in August and a $15 million tax credit. <br></br>In the nine months, net rose 4.3%: to $525.8 million or $4.67 a share, from $504.2 million, or $4.41 a share, last year. <br></br></p>"
20,A1PBRFFOTO5ZU6,11_1,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,"<font color=""blue"">fell</font>","<font color=""orange"">reflect</font>","<p>Aetna Life amp Casualty Co.'s third-quarter net income <b><u><font color=""blue"">fell</font></u></b> 22%: to $182.6 million, or $1.63 a share, reflecting the damages from Hurricane Hugo and lower results for some of the company's major divisions. <br></br>Catastrophe losses <b><u><font color=""green"">reduced</font></u></b> Aetna's net income by $50 million, including $36 million from Hugo. <br></br>Last year catastrophe losses totaled $5 million, when net was $235.5 million, or $2.07 a share. <br></br>The year-earlier results have been restated to <b><u><font color=""orange"">reflect</font></u></b> an accounting change. <br></br>The insurer has <b><u><font color=""red"">started</font></u></b> processing claims from the Northern California earthquake nearly two weeks ago. <br></br>But because these claims are more difficult to evaluate and have been <b><u><font color=""purple"">coming</font></u></b> in more slowly, the company <b><u><font color=""brown"">has</font></u></b> no estimate of the impact of the earthquake on fourth-quarter results. <br></br>In New York Stock Exchange composite trading Friday, Aetna closed at $60, down 50 cents. <br></br>In the latest quarter, Aetna had a $23 million loss on its auto\/homeowners line, compared with earnings of $33 million last year. <br></br>Profit for its commercial insurance division fell 30%: to $59 million, reflecting higher catastrophe losses and the price war in the property\/casualty market for nearly three years. <br></br>However, Aetna's employee benefits division, which includes its group health insurance operations, posted a 34%: profit gain to $106 million. <br></br>Third-quarter results included net realized capital gains of $48 million, which included $27 million from the sale of Federated Investors in August and a $15 million tax credit. <br></br>In the nine months, net rose 4.3%: to $525.8 million or $4.67 a share, from $504.2 million, or $4.41 a share, last year. <br></br></p>"
21,A5C6BAAHFTJFP,11_0,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,"<font color=""blue"">fell</font>","<font color=""green"">reduced</font>","<p>Aetna Life amp Casualty Co.'s third-quarter net income <b><u><font color=""blue"">fell</font></u></b> 22%: to $182.6 million, or $1.63 a share, reflecting the damages from Hurricane Hugo and lower results for some of the company's major divisions. <br></br>Catastrophe losses <b><u><font color=""green"">reduced</font></u></b> Aetna's net income by $50 million, including $36 million from Hugo. <br></br>Last year catastrophe losses totaled $5 million, when net was $235.5 million, or $2.07 a share. <br></br>The year-earlier results have been restated to <b><u><font color=""orange"">reflect</font></u></b> an accounting change. <br></br>The insurer has <b><u><font color=""red"">started</font></u></b> processing claims from the Northern California earthquake nearly two weeks ago. <br></br>But because these claims are more difficult to evaluate and have been <b><u><font color=""purple"">coming</font></u></b> in more slowly, the company <b><u><font color=""brown"">has</font></u></b> no estimate of the impact of the earthquake on fourth-quarter results. <br></br>In New York Stock Exchange composite trading Friday, Aetna closed at $60, down 50 cents. <br></br>In the latest quarter, Aetna had a $23 million loss on its auto\/homeowners line, compared with earnings of $33 million last year. <br></br>Profit for its commercial insurance division fell 30%: to $59 million, reflecting higher catastrophe losses and the price war in the property\/casualty market for nearly three years. <br></br>However, Aetna's employee benefits division, which includes its group health insurance operations, posted a 34%: profit gain to $106 million. <br></br>Third-quarter results included net realized capital gains of $48 million, which included $27 million from the sale of Federated Investors in August and a $15 million tax credit. <br></br>In the nine months, net rose 4.3%: to $525.8 million or $4.67 a share, from $504.2 million, or $4.41 a share, last year. <br></br></p>"
22,A18WNE09USHJSG,11_0,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,"<font color=""blue"">fell</font>","<font color=""green"">reduced</font>","<p>Aetna Life amp Casualty Co.'s third-quarter net income <b><u><font color=""blue"">fell</font></u></b> 22%: to $182.6 million, or $1.63 a share, reflecting the damages from Hurricane Hugo and lower results for some of the company's major divisions. <br></br>Catastrophe losses <b><u><font color=""green"">reduced</font></u></b> Aetna's net income by $50 million, including $36 million from Hugo. <br></br>Last year catastrophe losses totaled $5 million, when net was $235.5 million, or $2.07 a share. <br></br>The year-earlier results have been restated to <b><u><font color=""orange"">reflect</font></u></b> an accounting change. <br></br>The insurer has <b><u><font color=""red"">started</font></u></b> processing claims from the Northern California earthquake nearly two weeks ago. <br></br>But because these claims are more difficult to evaluate and have been <b><u><font color=""purple"">coming</font></u></b> in more slowly, the company <b><u><font color=""brown"">has</font></u></b> no estimate of the impact of the earthquake on fourth-quarter results. <br></br>In New York Stock Exchange composite trading Friday, Aetna closed at $60, down 50 cents. <br></br>In the latest quarter, Aetna had a $23 million loss on its auto\/homeowners line, compared with earnings of $33 million last year. <br></br>Profit for its commercial insurance division fell 30%: to $59 million, reflecting higher catastrophe losses and the price war in the property\/casualty market for nearly three years. <br></br>However, Aetna's employee benefits division, which includes its group health insurance operations, posted a 34%: profit gain to $106 million. <br></br>Third-quarter results included net realized capital gains of $48 million, which included $27 million from the sale of Federated Investors in August and a $15 million tax credit. <br></br>In the nine months, net rose 4.3%: to $525.8 million or $4.67 a share, from $504.2 million, or $4.41 a share, last year. <br></br></p>"
23,A3J0VZOPOGW1QC,11_0,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,"<font color=""blue"">fell</font>","<font color=""green"">reduced</font>","<p>Aetna Life amp Casualty Co.'s third-quarter net income <b><u><font color=""blue"">fell</font></u></b> 22%: to $182.6 million, or $1.63 a share, reflecting the damages from Hurricane Hugo and lower results for some of the company's major divisions. <br></br>Catastrophe losses <b><u><font color=""green"">reduced</font></u></b> Aetna's net income by $50 million, including $36 million from Hugo. <br></br>Last year catastrophe losses totaled $5 million, when net was $235.5 million, or $2.07 a share. <br></br>The year-earlier results have been restated to <b><u><font color=""orange"">reflect</font></u></b> an accounting change. <br></br>The insurer has <b><u><font color=""red"">started</font></u></b> processing claims from the Northern California earthquake nearly two weeks ago. <br></br>But because these claims are more difficult to evaluate and have been <b><u><font color=""purple"">coming</font></u></b> in more slowly, the company <b><u><font color=""brown"">has</font></u></b> no estimate of the impact of the earthquake on fourth-quarter results. <br></br>In New York Stock Exchange composite trading Friday, Aetna closed at $60, down 50 cents. <br></br>In the latest quarter, Aetna had a $23 million loss on its auto\/homeowners line, compared with earnings of $33 million last year. <br></br>Profit for its commercial insurance division fell 30%: to $59 million, reflecting higher catastrophe losses and the price war in the property\/casualty market for nearly three years. <br></br>However, Aetna's employee benefits division, which includes its group health insurance operations, posted a 34%: profit gain to $106 million. <br></br>Third-quarter results included net realized capital gains of $48 million, which included $27 million from the sale of Federated Investors in August and a $15 million tax credit. <br></br>In the nine months, net rose 4.3%: to $525.8 million or $4.67 a share, from $504.2 million, or $4.41 a share, last year. <br></br></p>"
24,A3G0MGLBT484I1,11_0,before,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,"<font color=""blue"">fell</font>","<font color=""green"">reduced</font>","<p>Aetna Life amp Casualty Co.'s third-quarter net income <b><u><font color=""blue"">fell</font></u></b> 22%: to $182.6 million, or $1.63 a share, reflecting the damages from Hurricane Hugo and lower results for some of the company's major divisions. <br></br>Catastrophe losses <b><u><font color=""green"">reduced</font></u></b> Aetna's net income by $50 million, including $36 million from Hugo. <br></br>Last year catastrophe losses totaled $5 million, when net was $235.5 million, or $2.07 a share. <br></br>The year-earlier results have been restated to <b><u><font color=""orange"">reflect</font></u></b> an accounting change. <br></br>The insurer has <b><u><font color=""red"">started</font></u></b> processing claims from the Northern California earthquake nearly two weeks ago. <br></br>But because these claims are more difficult to evaluate and have been <b><u><font color=""purple"">coming</font></u></b> in more slowly, the company <b><u><font color=""brown"">has</font></u></b> no estimate of the impact of the earthquake on fourth-quarter results. <br></br>In New York Stock Exchange composite trading Friday, Aetna closed at $60, down 50 cents. <br></br>In the latest quarter, Aetna had a $23 million loss on its auto\/homeowners line, compared with earnings of $33 million last year. <br></br>Profit for its commercial insurance division fell 30%: to $59 million, reflecting higher catastrophe losses and the price war in the property\/casualty market for nearly three years. <br></br>However, Aetna's employee benefits division, which includes its group health insurance operations, posted a 34%: profit gain to $106 million. <br></br>Third-quarter results included net realized capital gains of $48 million, which included $27 million from the sale of Federated Investors in August and a $15 million tax credit. <br></br>In the nine months, net rose 4.3%: to $525.8 million or $4.67 a share, from $504.2 million, or $4.41 a share, last year. <br></br></p>"
25,AUPV5WJK85K4F,11_0,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,"<font color=""blue"">fell</font>","<font color=""green"">reduced</font>","<p>Aetna Life amp Casualty Co.'s third-quarter net income <b><u><font color=""blue"">fell</font></u></b> 22%: to $182.6 million, or $1.63 a share, reflecting the damages from Hurricane Hugo and lower results for some of the company's major divisions. <br></br>Catastrophe losses <b><u><font color=""green"">reduced</font></u></b> Aetna's net income by $50 million, including $36 million from Hugo. <br></br>Last year catastrophe losses totaled $5 million, when net was $235.5 million, or $2.07 a share. <br></br>The year-earlier results have been restated to <b><u><font color=""orange"">reflect</font></u></b> an accounting change. <br></br>The insurer has <b><u><font color=""red"">started</font></u></b> processing claims from the Northern California earthquake nearly two weeks ago. <br></br>But because these claims are more difficult to evaluate and have been <b><u><font color=""purple"">coming</font></u></b> in more slowly, the company <b><u><font color=""brown"">has</font></u></b> no estimate of the impact of the earthquake on fourth-quarter results. <br></br>In New York Stock Exchange composite trading Friday, Aetna closed at $60, down 50 cents. <br></br>In the latest quarter, Aetna had a $23 million loss on its auto\/homeowners line, compared with earnings of $33 million last year. <br></br>Profit for its commercial insurance division fell 30%: to $59 million, reflecting higher catastrophe losses and the price war in the property\/casualty market for nearly three years. <br></br>However, Aetna's employee benefits division, which includes its group health insurance operations, posted a 34%: profit gain to $106 million. <br></br>Third-quarter results included net realized capital gains of $48 million, which included $27 million from the sale of Federated Investors in August and a $15 million tax credit. <br></br>In the nine months, net rose 4.3%: to $525.8 million or $4.67 a share, from $504.2 million, or $4.41 a share, last year. <br></br></p>"
26,AYHHOK9GDSWNH,11_0,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,"<font color=""blue"">fell</font>","<font color=""green"">reduced</font>","<p>Aetna Life amp Casualty Co.'s third-quarter net income <b><u><font color=""blue"">fell</font></u></b> 22%: to $182.6 million, or $1.63 a share, reflecting the damages from Hurricane Hugo and lower results for some of the company's major divisions. <br></br>Catastrophe losses <b><u><font color=""green"">reduced</font></u></b> Aetna's net income by $50 million, including $36 million from Hugo. <br></br>Last year catastrophe losses totaled $5 million, when net was $235.5 million, or $2.07 a share. <br></br>The year-earlier results have been restated to <b><u><font color=""orange"">reflect</font></u></b> an accounting change. <br></br>The insurer has <b><u><font color=""red"">started</font></u></b> processing claims from the Northern California earthquake nearly two weeks ago. <br></br>But because these claims are more difficult to evaluate and have been <b><u><font color=""purple"">coming</font></u></b> in more slowly, the company <b><u><font color=""brown"">has</font></u></b> no estimate of the impact of the earthquake on fourth-quarter results. <br></br>In New York Stock Exchange composite trading Friday, Aetna closed at $60, down 50 cents. <br></br>In the latest quarter, Aetna had a $23 million loss on its auto\/homeowners line, compared with earnings of $33 million last year. <br></br>Profit for its commercial insurance division fell 30%: to $59 million, reflecting higher catastrophe losses and the price war in the property\/casualty market for nearly three years. <br></br>However, Aetna's employee benefits division, which includes its group health insurance operations, posted a 34%: profit gain to $106 million. <br></br>Third-quarter results included net realized capital gains of $48 million, which included $27 million from the sale of Federated Investors in August and a $15 million tax credit. <br></br>In the nine months, net rose 4.3%: to $525.8 million or $4.67 a share, from $504.2 million, or $4.41 a share, last year. <br></br></p>"
