worker,competence
A3TBGB7VGRRYCT,0.7837382877
A32D1CITAL0BAY,0.9702429064
A1UQKF8NB9FVOA,0.7610389949
A5SQMVCBLLR10,0.7343467153
A261BBDBVRB79K,0.7339791687
A3Q9V4M3V0L77A,0.5312458766
A389Z7A60D4L8I,0.6546240703
A2XAB2SZD9816Y,0.9525140975
AJR1HBQLBT2UT,0.9474274079
A2KST2DIWAB8Z4,0.7832733012
AD1BB9AC3IZXQ,0.9703780504
A30DASEJS2ZINX,0.7832941772
A1K0I2MPF4CF13,0.9703780504
A34JFTRXZ9U33N,0.7886261988
A39APWH62XBLR9,0.7648590765
AO49JS7KNRQ5A,0.5983889244
AH02ZNR6AGX8J,0.6820052672
A5M1CDOBQXIND,0.6831964742
A1FSNT6DWYDIWA,0.8682643059
A1M0SEWUJYX9K0,0.8372698677
A2G80S3EM9SDBD,0.7685230437
A9YV82C0R0HHU,0.9702173203
AZG7NPU1UZMPM,0.7762293741
AM367N2MAMQ15,0.7887436443
A24R6AHP7B0TLN,0.8776565699
A2HNP1YL1IBFMU,0.496178289
A3FVCQZ8DA0UV9,0.9702599019
A16D3RBFGNRKL8,0.7883612555
A37R966EV2XC6Y,0.9702599019
AHN23PP23PHZK,0.6963968204
A1ZGDXSHUPEQD9,0.927440267
A1RSPO7YXD7OS,0.6972156307
A1NI967I2I3UXN,0.7584760244
A18SO7XEA5K3NR,0.4203796794
A24KZL47I6CH4C,0.6706037695
A1CP0KZJS5LSIF,0.7985335037
A1ZVGUVI9TAZJX,0.7597600983
A1NCNZ96FZP9MC,0.7702653619
A2XRLW6EWPXFZJ,0.4921192948
A1IPO1FAD1A60X,0.6967944692
A1S2LOH6K9Q3Y8,0.7884784688
A15GNVZ1EXQMYR,0.6264526972
A1KS77MYC4GGZ3,0.7787631453
A1ORRI82WFHIKZ,0.8102697767
A28W67ZXNQ3K19,0.970293979
A99F7DB1MDLVK,0.3830327637
A1KFIQBETMB81I,0.9702598188
A38D94OEB20V2S,0.5946844381
A2TFRXLFNLRE10,0.9700396759
A15MN5MDG4D7Q9,0.8901152161
A37XSAE8QVBVGS,0.779293902
A3MWTGQFPYGGW6,0.7046994221
A29CFIMDI0ID2V,0.6111290018
AQ1WI10VDQ7FE,0.6647064573
A5TYBSH7AYMK7,0.806087306
AYZHZZZE0UP0A,0.1033924601
ADMPXNDZ8F6QA,0.6769164943
APOA130JRSXAV,0.3533638434
AJ9MI2GEX5R28,0.9687556659
A2QH0Y8GLQ090K,0.1465465714
A1QL3BQX00Y2OC,0.9703874765
AVIVV0WYFK6EJ,0.8795710643
AQ6JP5VBCTYDN,0.381831636
A3NWTTG6VC0N8S,0.6869583588
A1G42XP7E394WU,0.9703874765
A3B9CRWYGCJ1GJ,0.6595400929
A1XXMVPHRKUTAH,0.2058548883
A3LMXIKF4NPSBN,0.6177989089
A358E8MG0GCC37,0.4833418736
A1LY3NJTYW9TFF,0.5745088758
A1I48Z1CH0458V,0.8685471752
A14Q86RX5HGCN,0.8894567167
A3BMXJJ6MRE5C1,0.7716365408
A7B3KMBP39QWF,0.698279414
A1ZXM6L5BLKBW9,0.6985791855
A2ELWPBL46UA0E,0.7890638619
A1IHLPH5UWHAB6,0.9700155026
A32QZGM6C949ZI,0.9700155026
A151VN1BOY29J1,0.6699912248
ATJQTHNPVWH9,0.8619338492
A153JJMSL7V3C9,0.7673204833
A1SM3O307GMDK8,0.0825605931
AZKV0OXDZVDYR,0.2218907252
A1BG7KLBHHCLYP,0.2871852543
A3BY5HXZIM04PN,0.6182504742
A3RW8TMXMQ7I6B,0.1912749308
A2QPX2MS844TYJ,0.0131331017
A3VMJIW0DP7007,0.5422139461
AK7YVYGMIF6T0,0.4991147021
A2PAV7JATODL20,0.6905545696
A2CET0W1FJGMV,0.0204578623
A3KQFLPDA52RE,0.7705330343
A27SZLZECUSPWB,0.4097121782
ADX3CN405XAMF,0.1379445431
A2YRAPAV1WNYWB,0.143316194
A15H21NMKA3TE4,0.8413285705
A1W8YY6KOEOG6,0.8601810211
A1ZIUN0W12X1SP,0.1732256414
AMVOSOXRSRMHD,0.6778123858
AADS3JU8O57J3,0.8660866228
A2LL0VL0D92ZL1,0.7879155109
A3N3ESBU769SMG,0.0365184675
ADAGUJNWMEPT6,0.4863084392
A1SHEWULPSH627,0.7459022305
AX2XQPTZ1H49C,0.8807378856
AFZECAKP08NZA,0.7838482805
A1JPASJWRS7QMK,0.6869591704
A2CGA60V75C34Q,0.9703890993
A1BCDJEVMCR5HD,0.9703890993
A1B0YWANQX8P6S,0.9703890993
A3SJOKB3ZHQDQ0,0.8795705696
AS7QSZPN28VFT,0.706259659
AWK3LFAT0IHP3,0.8498743253
A2OOM1MEGTT1MJ,0.8791336697
A1XUMT8PKEPRR1,0.8790441539
