unit,videolocation,subtitles,imagetags,subtitletags,uqs,uqs_initial,archeologist,architect,artist,astronaut,athlete,businessperson,celebrity,chef,criminal,engineer,farmer,fictionalcharacter,journalist,judge,lawyer,militaryperson,model,monarch,philosopher,politician,presenter,producer,psychologist,scientist,sportsmanager,writer,none,other,archeologist_initial_initial,architect_initial,artist_initial,astronaut_initial,athlete_initial,businessperson_initial,celebrity_initial,chef_initial,criminal_initial,engineer_initial,farmer_initial,fictionalcharacter_initial,journalist_initial,judge_initial,lawyer_initial,militaryperson_initial,model_initial,monarch_initial,philosopher_initial,politician_initial,presenter_initial,producer_initial,psychologist_initial,scientist_initial,sportsmanager_initial,writer_initial,none_initial,other_initial
1856509909,https://joran.org/ct/entity.admin.unit.2643/8606.mp4,she's all that to the degree that I just,illustration__c0_###_vector__c1_###_symbol__c2_###_design__c3_###_image__c4_###_icon__i0_###_set__i1_###_design__i2_###_symbol__i3_###_map__i4_###_,,0.9985115886681478,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007045170469407446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9992954829530593,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509910,https://joran.org/ct/entity.admin.unit.2643/8612.mp4,rooted in any story of the girl or boy,art__c0_###_painting__c1_###_people__c2_###_adult__c3_###_illustration__c4_###_man__i0_###_people__i1_###_person__i2_###_male__i3_###_adult__i4_###_,rooted__0_###_story__1_###_girl__2_###_boy__3_###_,0.3855999706303316,0.31552498667529383,0.0,0.0006963646339910917,0.06797072084895306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30992545402310206,0.0,0.0,0.0,0.0,0.023820475327484235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5671084334111536,0.11002200151265867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509911,https://joran.org/ct/entity.admin.unit.2643/8618.mp4,a princess shut up all right so there,woman__c0_###_outdoors__c1_###_people__c2_###_one__c3_###_adolescent__c4_###_coat__i0_###_fur coat__i1_###_person__i2_###_portrait__i3_###_model__i4_###_,,0.547695304111964,0.46489937291402156,0.0,0.0,0.21979110604885052,0.0,0.0,0.0,0.7522157473492056,0.0,0.0,0.0,0.0,0.3511417032083107,0.0,0.0,0.0,0.0,0.0,0.13297340991467757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509912,https://joran.org/ct/entity.admin.unit.2643/8625.mp4,what I tell you hot right yeah baby number three their friends convince them,people__c0_###_portrait__c1_###_man__c2_###_adult__c3_###_wear__c4_###_man__i0_###_male__i1_###_adult__i2_###_business__i3_###_people__i4_###_,hot__0_###_baby__1_###_number__2_###_friends__3_###_,0.3148372242649012,0.25888935720542083,0.0,0.0,0.08071758817388054,0.0,0.0,0.16218471441618376,0.35085944816560627,0.0,0.0,0.0,0.0,0.3136098465308795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04815351621098696,0.0,0.0,0.0,0.0,0.05506414465471065,0.4912220569506892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509913,https://joran.org/ct/entity.admin.unit.2643/8636.mp4,it's occasionally been gender flipped and you have the guy like does his hair,indoors__c0_###_people__c1_###_furniture__c2_###_room__c3_###_woman__c4_###_four-poster__i0_###_bed__i1_###_furniture__i2_###_bedroom furniture__i3_###_home__i4_###_,gender__0_###_flipped__1_###_guy__2_###_hair__3_###_,0.4246553453594709,0.3507424202638455,0.0,0.0,0.3516343828503798,0.0,0.024651875985681908,0.1295559930134169,0.5818761567173438,0.0,0.0,0.0,0.0,0.27508527390304904,0.0,0.0,0.0,0.0,0.554539419444105,0.0,0.0,0.0,0.0,0.0007206696911776614,0.0,0.0,0.0,0.0,0.0,0.10813775311036053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509914,https://joran.org/ct/entity.admin.unit.2643/8640.mp4,Austen novel Emma as it really gets it some of her themes at social class and,paper__c0_###_retro__c1_###_dirty__c2_###_no person__c3_###_handwritten__c4_###_paper__i0_###_document__i1_###_texture__i2_###_blank__i3_###_design__i4_###_,Austen__0_###_Emma__1_###_themes__2_###_social class__3_###_,0.6824425257825796,0.5631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04840129924309019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023820475327484235,0.0,0.0,0.0,0.0,0.09900415302586212,0.8287740724035634,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509915,https://joran.org/ct/entity.admin.unit.2643/8645.mp4,designated ugly fat friend the Duff,woman__c0_###_indoors__c1_###_people__c2_###_adult__c3_###_portrait__c4_###_people__i0_###_attractive__i1_###_happy__i2_###_smiling__i3_###_adult__i4_###_,fat__0_###_friend__1_###_Duff__2_###_,0.47592037425974143,0.42156176493443337,0.0,0.0,0.005771150095776655,0.0,0.0,0.0,0.6098758789219672,0.0,0.0,0.0,0.0,0.5854046774490727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2511920457630151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509916,https://joran.org/ct/entity.admin.unit.2643/8649.mp4,I'm disgusting I'm a I'm a Swamp Thing I'm a regular Bela Lugosi,people__c0_###_adult__c1_###_man__c2_###_outdoors__c3_###_portrait__c4_###_male__i0_###_man__i1_###_adult__i2_###_people__i3_###_caucasian__i4_###_,Swamp Thing__0_###_regular__1_###_Bela Lugosi__2_###_,0.34907985764912697,0.34059750588327353,0.0,0.0,0.005817531044123172,0.0,0.19462946072921114,0.0,0.35076033200206763,0.0,0.0,0.0,0.0,0.5741768976665846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06147608493665399,0.4134803695158108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509917,https://joran.org/ct/entity.admin.unit.2643/8654.mp4,okay the way they are that's ultimately,indoors__c0_###_adult__c1_###_people__c2_###_portrait__c3_###_woman__c4_###_person__i0_###_adult__i1_###_caucasian__i2_###_people__i3_###_attractive__i4_###_,,0.3467541583427304,0.29650227937560425,0.0,0.0,0.00613916749249373,0.0,0.43361240010260843,0.0,0.5372798692565267,0.056733043509090975,0.0,0.0,0.0,0.3230252974054345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022534003509445233,0.0,0.0,0.0,0.0,0.0,0.070529774812487,0.11565918193196786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509918,https://joran.org/ct/entity.admin.unit.2643/8658.mp4,paint-spattered overalls you're still like a worthwhile person,love__c0_###_fun__c1_###_people__c2_###_no person__c3_###_illustration__c4_###_person__i0_###_happy__i1_###_people__i2_###_smiling__i3_###_fun__i4_###_,overalls__0_###_person__1_###_,0.25113361152440516,0.2777416076439271,0.0,0.0,0.4464719250757905,0.0,0.0,0.0,0.3588944077608418,0.0,0.0,0.0,0.0,0.26017575467608806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07849273732865837,0.0,0.0,0.0,0.0,0.0,0.08361744752093231,0.17333833157017448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509919,https://joran.org/ct/entity.admin.unit.2848/8839.mp4,"the McMansion in Sarasota that starts falling apart after 10 years. Power...  This is called r-dropping, and it's a feature of several well-known dialects.  He would rather the",people__c0_###_indoors__c1_###_business__c2_###_adult__c3_###_man__c4_###_suit__i0_###_businessman__i1_###_man__i2_###_male__i3_###_business__i4_###_,McMansion__0_###_Sarasota__1_###_starts__2_###_falling__3_###_10 years__4_###_Power__5_###_This__6_###_called__7_###_r-dropping__8_###_feature__9_###_dialects__10_###_He__11_###_,0.5031123634525378,0.37219012930723444,0.0,0.0,0.23532271241725017,0.0,0.0,0.11003486387076003,0.7205831539353369,0.0,0.0,0.0,0.0,0.2455546267875438,0.0,0.0007366143774223186,0.0007366143774223186,0.0,0.0,0.0,0.0,0.13843743322394625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05158652953406377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509920,https://joran.org/ct/entity.admin.unit.2848/8844.mp4,South.  This war talk's spoiling all the fun at every party this spring.  R-dropping emerged,tree__c0_###_outdoors__c1_###_people__c2_###_landscape__c3_###_panoramic__c4_###_house__i0_###_architecture__i1_###_building__i2_###_structure__i3_###_sky__i4_###_,South__0_###_This__1_###_talk__2_###_spoiling__3_###_party__4_###_spring__5_###_R-dropping__6_###_emerged__7_###_,0.510297918206109,0.34760052249901363,0.0,0.0,0.04286337668389965,0.0,0.00010048680146708309,0.0,0.7103118509960819,0.0,0.0,0.0,0.0,0.5665991203427914,0.0,0.0,0.0,0.0,0.003466541766851628,0.0,0.0,0.0,0.028641909915629114,0.003466541766851628,0.0,0.0,0.0,0.003466541766851628,0.08776163343252212,0.15319834079164116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509921,https://joran.org/ct/entity.admin.unit.2848/8847.mp4,English didn't always talk that way. And then it spread to elites on the East Coast of the,art__c0_###_illustration__c1_###_print__c2_###_people__c3_###_painting__c4_###_drawing__i0_###_sketch__i1_###_painting__i2_###_design__i3_###_art__i4_###_,English__0_###_talk__1_###_elites__2_###_East Coast__3_###_,0.22039205156215094,0.20718352806783005,0.0,0.0007307205068133937,0.14117512063880558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30178404039399703,0.0,0.0,0.0,0.024995683230027283,0.09088088729672865,0.4209837895448336,0.0,0.09047332407605636,0.0,0.0,0.0,0.0,0.0,0.0,0.19079499365808056,0.2747356820933218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509922,https://joran.org/ct/entity.admin.unit.2848/8853.mp4,"of white Southerners essentially abandoned r-dropping, so today you'll see it mostly",people__c0_###_woman__c1_###_child__c2_###_adult__c3_###_group__c4_###_people__i0_###_caucasian__i1_###_happy__i2_###_man__i3_###_adult__i4_###_,white__0_###_Southerners__1_###_essentially__2_###_abandoned__3_###_r-dropping__4_###_today__5_###_,0.6679539765937191,0.5842105263157895,0.0,0.0,0.0,0.0,0.0,0.0006963646339910917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19422910079896905,0.8050745345670398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509923,https://joran.org/ct/entity.admin.unit.2848/8859.mp4,"part of South Carolina, and his Rs are largely intact.  going to sell the oil to another",map__c0_###_geography__c1_###_cartography__c2_###_margin__c3_###_country__c4_###_map__i0_###_representation__i1_###_geography__i2_###_country__i3_###_atlas__i4_###_,South Carolina__0_###_Rs__1_###_intact__2_###_sell__3_###_oil__4_###_,0.5143134955091607,0.24375802991789303,0.008022858246220134,0.0,0.04772197968499868,0.0,0.0,0.0,0.04772197968499868,0.0,0.0,0.0,0.0,0.03453329260379111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05109576927325243,0.033134615934816355,0.03478199269802275,0.0,0.0,0.0,0.00357733008126644,0.7306803652078175,0.09813974903613867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509924,https://joran.org/ct/entity.admin.unit.2848/8862.mp4,"How close does that sound to the Kentucky accent where they talk like that and I'm talking like this?  Regardless, R-dropping probably can't be the shortcut that white actors use",business__c0_###_chair__c1_###_politician__c2_###_adult__c3_###_people__c4_###_business__i0_###_businessman__i1_###_man__i2_###_office__i3_###_businesswoman__i4_###_,How__0_###_sound__1_###_Kentucky accent__2_###_talk__3_###_I'm talking__4_###_R-dropping__5_###_white__6_###_actors__7_###_,0.8309613641643043,0.5837351478062983,0.0,0.0,0.028361092348035837,0.0,0.0,0.0,0.975984420684919,0.0,0.0,0.0,0.0,0.0,0.0587972459857225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22333804594378723,0.0,0.0,0.0,0.0,0.0,0.0,0.1266160848002486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509925,https://joran.org/ct/entity.admin.unit.2848/8868.mp4,"speech, /ay/ is a one-part vowel in many cases, sounding more like ah than ay.  Five   and",no person__c0_###_desktop__c1_###_illustration__c2_###_text__c3_###_symbol__c4_###_sign__i0_###_icon__i1_###_symbol__i2_###_business__i3_###_graphic__i4_###_,ay__0_###_vowel__1_###_cases__2_###_sounding__3_###_ay__4_###_Five__5_###_,0.9494052573431733,0.8052631578947368,0.0,0.0,0.0,0.0,0.0,0.0006963646339910917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023820475327484235,0.0,0.0,0.0,0.0,0.0,0.9754831600385245,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509926,https://joran.org/ct/entity.admin.unit.2848/8872.mp4,"be aware of. Most Southerners only do ay-ungliding before what's called voiced consonants, or at the end of a word. The difference between voiced and voiceless consonants is whether your vocal chords vibrate when you say them, and ay-ungliding before voiceless consonants is stereotyped in the South as a less-educated way of speaking.  But I don't want your life. ",map__c0_###_geography__c1_###_cartography__c2_###_country__c3_###_margin__c4_###_map__i0_###_representation__i1_###_geography__i2_###_atlas__i3_###_country__i4_###_,aware__0_###_Most__1_###_Southerners__2_###_called__3_###_voiced consonants__4_###_word__5_###_The difference__6_###_voiced__7_###_voiceless consonants__8_###_vocal chords__9_###_vibrate__10_###_voiceless consonants__11_###_stereotyped__12_###_South__13_###_speaking__14_###_But__15_###_life__16_###_,0.9494052573431733,0.8052631578947368,0.0,0.0,0.0,0.0,0.0,0.0006963646339910917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023820475327484235,0.0,0.0,0.0,0.0,0.0,0.9754831600385245,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509927,https://joran.org/ct/entity.admin.unit.2848/8878.mp4,men.  As do the vowels pronounced in the back of the mouth like go and boot.  Thank you. ,woman__c0_###_indoors__c1_###_fashion__c2_###_contemporary__c3_###_people__c4_###_attractive__i0_###_caucasian__i1_###_pretty__i2_###_adult__i3_###_people__i4_###_,men__0_###_As__1_###_vowels__2_###_mouth__3_###_boot__4_###_Thank__5_###_,0.9299832451784004,0.8561203229281671,0.0,0.0,0.3181107958222405,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024995683230027283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509928,https://joran.org/ct/entity.admin.unit.2848/8883.mp4,"But if you're an actor from the North or the West, the vowels are really the key",page__c0_###_business__c1_###_template__c2_###_illustration__c3_###_World Wide Web__c4_###_window__i0_###_design__i1_###_web__i2_###_graphic__i3_###_internet__i4_###_,But__0_###_actor__1_###_North__2_###_West__3_###_vowels__4_###_key__5_###_,0.7214403560962949,0.4263157894736842,0.0,0.0058458962869637225,0.0,0.0,0.0,0.0,0.0227374354287259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005867561681454525,0.02153706600828951,0.0,0.0,0.0,0.0,0.0,0.8542755073615312,0.08973653323303504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509929,https://joran.org/ct/entity.admin.unit.2833/9002.mp4,captures a strange marking across the arid plains of Bolivia what would create,no person__c0_###_nature__c1_###_desktop__c2_###_outdoors__c3_###_abstract__c4_###_color__i0_###_water__i1_###_design__i2_###_black__i3_###_close__i4_###_,captures__0_###_strange__1_###_marking__2_###_arid__3_###_Bolivia__4_###_create__5_###_,0.8379274480993449,0.4813011241868419,0.0029235569116775172,0.0029235569116775172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029235569116775172,0.0,0.0,0.006556644800538573,0.0,0.0,0.0029235569116775172,0.0,0.0,0.0,0.0065809442901577295,0.024155558862206643,0.006556644800538573,0.0,0.028425427020763554,0.0,0.0,0.9202519584761204,0.014029466550213077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509930,https://joran.org/ct/entity.admin.unit.2833/9005.mp4,of the answer may lie in the mining history of mineral-rich Bolivia and neighboring Chile the Atacama Desert is,no person__c0_###_abstract__c1_###_desktop__c2_###_design__c3_###_pattern__c4_###_business__i0_###_black__i1_###_design__i2_###_close__i3_###_hand__i4_###_,answer__0_###_lie__1_###_mining__2_###_history__3_###_Bolivia__4_###_Chile__5_###_Atacama Desert__6_###_,0.9985288462365683,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006963646339910917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993036353660087,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509931,https://joran.org/ct/entity.admin.unit.2833/9007.mp4,growth very few animals there is however,portrait__c0_###_people__c1_###_adult__c2_###_man__c3_###_one__c4_###_man__i0_###_businessman__i1_###_male__i2_###_person__i3_###_caucasian__i4_###_,animals__0_###_,0.19466677606756574,0.168662850242202,0.06750033381342627,0.0,0.0,0.0,0.0,0.06227057835696708,0.0,0.0,0.0,0.15692508334014812,0.005853779346871097,0.0,0.22811829885647317,0.0,0.0,0.0,0.0,0.0,0.02862187569683578,0.06629274581249857,0.054296208733070846,0.0,0.0,0.41166167279307786,0.0,0.0,0.15886453837537476,0.18140627788153926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
