unit,sent_id
3NI0WFPPI9S55X82NCL2F7AEAQU06J,04a71fff25862c1a00e31ad0348206491699bcb5d1dd84260539d50a787fd87d:4-6:13-15
3VLL1PIENQ0SWOKWR2KO26ZRDBKZO4,04d104a09d7d0ccd6edee37e63dd6145e50c17e293bd807cdd73a219755f3a50:1-2:11-13
3M93N4X8HKZHU17LGXYBYHL2R2ASJ9,059c5d13c1d4a4b412950fdf27d6531b6e6497746fed24c2ff996203c551af93:9-10:12-13
391FPZIE4CY1I84ZH2QQ15NBYP1HUI,059d8bf897fa6a73d530ab51eda0eeefa683476ed64b2d1c2a55dab612568a07:20-22:34-35
3CKVGCS3PGHASV6ZUPO5GC66SHO0S6,05b3f66200f89ce13fe0a543c859f0eaa35ccbb07e6fc31ad1596d6f0b3ec240:11-13:22-23
3J6BHNX0U94FP8LYQMH102B9JDAKN2,0659fbb76bd3cbc70bdd5f039fa11f928d8e94430aa19f8f7a715d93ef043a51:9-11:2-4
3XH7ZM9YX26GNAUZFW7TJD239U19RR,065eac33b6e7f899ed2301cc0f7d662c93070570c3bcbbb985cdcd70e67fa0c9:8-10:5-6
3O4VWC1GEWIDAKM6QIXAQ9DQYNZJ3X,0662ad015213cc7f42f432ed059906e1a0da998428b936504e4aff49720fb911:14-15:35-36
3JHB4BPSFKLGB9FZ2HITENSYCA19QV,067d4705169ba11da4a48304b16468c95c0ac627c852fbe6f2ddd2d7ef428846:25-27:14-16
3EKTG13IZUFKRWIGZLE22NZO31JLMC,06902c025702fdf477e0b8a3db9c5b1cf39ecf3b3f0e3088552b802507791a8e:8-12:0-2
39N6W9XWRDZ4ZLTT7X5XJQHNHZJGYA,06b848ba27e4600d6605afb089c2ddc97be7282c622c67fff6a2fc45a9d4fb37:4-5:12-14
3BAKUKE49HOYY5R4BJS047KKCNL1RT,06dae4b3c1937a92a0a7325f3d115ea75111b01cab9c479f1cab9eccefec82ed:8-10:11-12
3I4E7AFQ2KBI91K05X318MHOU94TJS,07444bad38b126c2f63ac05d6c9ee9664cb0afad048968b5b4091aece5601efe:1-3:6-8
3OB6JN3A9Q1VUUDT45BYOZ8N9FJRMR,07474ddd5512432c7370edf94435f694ba78ec097e536f62aec6a0bcf4238641:22-24:16-18
31HLTCK4BL7NVRYO2MIDCRDTZIHGV1,075abc824cc9c5df9c7af72908351456f12c9856a48ac535e27aad94d7809bfb:1-3:10-11
3Y7LTZE0YTYN9T4TNOWX1CRGW0CUZN,075fa83803ab1b9b44950d39b1a4e88ed8434f55b53e8b41ea329fb0da6423b4:1-3:4-5
37OPIVELUUFH3ZQ1BX9Z14BHR5NHAM,07a9d5ccaa21ddab25b36443a1c6109073fd456dbbcd1700cdbb75e82cad9da0:13-14:27-28
3CESM1J3EIFYDN9NGJENM2JIB88W66,07b46a83f08a021e2210e4cc2606fd1e2b476094be8fc587cba16b2f861ca0a6:0-1:20-21
39WSF6KUV2XULTT0VF6BHWY9PQ7OEP,07df6152b1ac152aa0496e4ea0e528cf619080db5061c549bfda763e98f7963c:13-15:0-3
3G9UA71JVV6VB3NTSU003QP63PLJ72,0863d733517eece432b8205d8cde699f9ed0219a27f32cc487e44d96a6ea0a24:7-8:13-14
3EHIMLB7F7B3KBXMEZPL5D5M2PZ8H2,08df8fcae50ba4eb5802a6d5fc835ed22057bd3624582ebb424f0fc68f33ea97:0-2:18-19
32LAQ1JNT91RNHVUHW7FFOQZBP2TUO,09504ff3e8155d3fe17e5004872494227b6a725ca3f431f341334fe5c4f9c0c6:0-2:18-19
3Y7LTZE0YTYN9T4TNOWX1CRGVJUUZ6,095e05b32ac752abbfd82f59692edc310351fb18b54fc2562b1db6d3c936c7c7:12-14:4-5
34OWYT6U3WT3UBRGP9DK5L1CN20I9N,096f9c75580ad1dbd413cc952a08710b91f60fecb645fce3320a62af54f9da91:6-9:4-5
3JY0Q5X05JI4DU8TDRJRCQAJBYLGGT,09a2fcdc415a2b8e775355c0eb262e38410533037984fc947e8b889cd957a527:2-4:16-17
3HUR21WDDU1FL7OJW7517CHIJK7YX1,09b8d1c1803694077ca40999cff48bffffcb3a7f526684d46a53333654e7dc8f:20-22:0-1
3VADEH0UHC9DGCAJBA3VVD7E0N2SP3,0a4483e62a67b3a1f0158fc059f78d2b07f303c0189a2f1ab8f05f2352e2963f:6-8:9-10
3E22YV8GG1IG0ZIE3EM9WJX8DB8NPA,0a8edcc80ee8312522e498800a235c78bc8b47e2cf170f1bfb55c55442245911:0-3:6-7
3JVP4ZJHDP4LYH33PDURCA0JJ3Y0IU,0aabe9ae71af43c8696f08bfe1427e459a1641047f675d4c530c9ddc999bf7b1:20-22:12-13
3GONHBMNHVA4WLZKEM5BA2AMIB5ZMP,0ab7331c2ef88832faf0358edaa66e995f63cc48994ca33e32ee9234cd150756:32-33:29-31
3D5G8J4N5AGR0WKUMMHKBASIO7HTV4,0ac9cbcd63b45b2d0ea3c1facbe1f1dd519bc700156ab34ac36af9a7b61baea5:19-20:7-8
3VDI8GSXAF5PKF2BUT73KDTLNPM8G3,0b5fe5db54feda52d8f384678118963683deeec9357682a91d1720fa4630c754:9-12:13-15
3LOJFQ4BOXR63WUL1S3Y4XZF598KDK,0b70c2623c56934bc23dbd8cbc554508c342d5c07b5ca4bc7d473f9a0c6a6cb6:9-11:7-8
3XDJY5RK5SX76WG42V677GE7V4R4U1,0b88d6b84923aad7fab5734038d1a7deeff66cc7c3988ad1c3f81dc26def9194:14-16:17-18
3BC9H1KCYUO0W7JTM29F5T3BA4BYWQ,0b8f6210488607acd73f297d97ada52bddcc0dc9ffeb60578fde1a6bcaccb19b:18-19:26-27
31JUPBOORNG567GC5K4JX5YTJ688L9,0b9ac62f77c63acf3fb461eda5c263455dd2f4943d7d577c588daf159ac21074:7-9:4-6
30UZJB2POHO53L7L1GTGPZULIQI53L,0bb933be6782b425913dea3454d885cccbc96aa57f058ba999174542f6136ae6:9-11:20-21
3S8A4GJRD3FLYY9IQ99R000449K6V4,0c128ae70b0d58c9de1410987695ab7ef45cd4f9713d01ca06944373a65f9a2b:9-11:12-13
3A520CCNWNC5JPZZLW1TG1E40Z8EA1,0c38084b73d95efc7a30b1083dbee835d73cde859570b38941baf9ed744d8a36:0-3:10-11
3S4TINXCC0ZWEQHGLO4LGOSOM7KOB7,0c39125566f1cb3c5f3e9a4cff61beeea9c21e40891c2580597350574c5c76fd:29-31:14-16
3M67TQBQQH0OOT8IDLL7ONDTAVL9A2,0c9fac3ca93bc92886b16ecf3f9afc8357313422ea175cb1b9236284a7daf848:0-1:16-18
3MJ9GGZYO3IDO9NJSC6SE05F3LI2A1,0d71467cd694ea182fcc81310fd57e3e351ce141aaa7cc880003199364449974:7-10:20-21
3XDJY5RK5SX76WG42V677GE7U264UB,0d7b8f1e20edaa4dfb942019464f929f24fdfb3a1ff235ea0317c5df9da0eeeb:4-5:25-26
3EQPA8A3748EVDTZBPSJUAI5FKEJZG,0d8f6e7e7dc7bd8f4e2c1b16c0b6c579cd4929e493cf119f43eb5637b40ca19d:9-12:6-8
30UZJB2POHO53L7L1GTGPZULH90352,0dc0f150b9db4fc3b7bce0d9aeee2c33a40ab71c0d7e744fa01f575ce6892e5c:6-8:3-5
3W3RSPVVGS3344NP8N5OTXGIGWVLUV,0e02f13ac68ed440d3e409223ac8fc5e4ecad88027897d5bb3984400895dbf20:0-1:25-28
3ZXV7Q5FJB0LIIWT0LHQ4EPSBTVCFL,0e62048b764c58f52c241987dff19aea08abcb7d8adc9fcff306547030f94cd3:11-13:5-6
3UL5XDRDNCVR4IDRDXOCGG2WXSG85H,0e74c030e5edda7f8ae79649fa63f096211f282d7d57d39e0e7f1eb2861a0a6a:14-17:28-29
386659BNTLTAYB75H69LKBJX3YT013,0e9a6aa11558b196a7647eb4eabdec3f054b1344b55dcd5f7c81ad58a81658f6:12-15:16-18
38XPGNCKHTC7JB547LGC32GQ89F4V0,0e9bf86e64d2897829e9ad1a665245d2a44b136804558d02707fb7c79adc759d:8-9:0-2
3VEI3XUCZR91FXA6WL3Q532IF21PRT,0f2c072f77d492e59faf822de5fd44f3ce96cf4ad3b73ace4ecda8489aaf26c0:25-26:12-14
38G0E1M85MH609ZJMR7UG6EK7X3VU0,0fb55f6a9fd16e9868f94664c77b1da3749d1e172181a0e3a3f7da74702536db:3-6:37-38
3RQVKZ7ZRKVV57PLL9U8493P1EZ723,0fdcd0b3aeacc3a1ba995763888807ba5c866e5041a2fb7fd7693f3d36638ada:20-24:14-15
337F8MIIMZPRQA4O4OSNI9Q0EZO04Y,0ff045fb68d35a3246084a9a9a1b63a5ef7244697728f402dc84d7ed0953e2c8:0-2:20-22
3IQ9O0AYW6BMEQ0UNFI1WL2OGRVTIP,100c87f4d9c9ca68ea9d4af944cf8ae2e160597fb64aa62dbc422268696dc045:27-32:21-25
32FESTC2NH2A10TJVACPQEQVMFMUCD,100ccbc7d0e3adb88ac2f831b2f1bffc4049c1ce4a6988a9df9b22f4e06b5301:4-5:8-10
3S1WOPCJFG5GKI23F2E690HNRGVEJZ,10337ae65389423272b2d5b65658e6b136ab2ff9a9f0cfac914a5d3b05b045a7:8-11:3-4
3IZVJEBJ6AW27IESR6YUL6D0TFK6ZP,10c5b28dfc75edd4c75131d41cc21db6a78043152126681843b1ea3de63258ef:41-43:18-20
3P4C70TRMRTKZMMUOIG7PIFR71HLGM,10e97bd819c3aa8f82491e70d02aaa7eb009bcd8e03409b14c797a32ee66787a:25-26:27-28
3JMNNNO3B1GAVMQMTH2KWP26VS3W20,1122748ff7cb6f583a71b320a8a5cc552d7a2ce2779b8770189bbc618fd94670:22-24:20-21
31KSVEGZ344RZ67787HLXXAE7W0WRK,11573db24eb9eb985122d20eaebfb695de38088d76df630ee42494cfba3d09af:0-2:11-12
3UV0D2KX1MVINEJE76B8LGD4LJK4FE,1159b686caad8826fa8ad16e10326276c93d2096574898f9625eb506c9c68296:0-1:12-14
3QQUBC64ZEQL98K5P5WQQWJBFN3XNK,116924b4939b518ca298330c95c28950ba6860c911aa96998f59df9a62ce0416:0-1:6-7
3BPP3MA3TCWMF8Q3INQJPFUFV50EL1,119ff6d710ee776fda8cf5e9709219fc04c5557fee44659e28995b1d8f40c19a:0-1:4-5
34XASH8KLQYAIHXERD79J4889HSMPW,11ffcff89062c00646e6cff725f9e06dc132b6554b89f838ea87de41b6e48ce8:9-10:6-7
3LCXHSGDLTI9JLLT2WNK118AMUESEO,12128d173389f01ea903f209206b258f69113ef8c91dc0d9631f89e6f147ee66:0-1:23-25
30Z7M1Q8UYWOAOP88TFTORIIPLAA8C,1244c84a7b3532774b419c3308ca94b6956348db38555d18922b990ca34629d4:43-44:45-48
367O8HRHKGKRRJO0DQB7SFWJ95L4SV,1246d60c94933dfa69995e558d73b69e721b72a2e3d4dc809f771e5935182a13:15-16:11-12
3EHVO81VN5XL9BD1FEG6Q3IENBHH1Y,12930d1bdb9270ea416165c9dde8899b424529f5547b4c2d81c9c6c6021f4900:0-1:10-13
34O39PNDK6KZB39WDGLPAJXTXU4RBJ,135a5fdca79260adb8e1b2b4cd9241170985d29fbf515419f19bb58ad967e8a1:1-2:9-10
38LRF35D5L8MO0X02H1OXBM1GDA3UB,1374f543db5a7f39498d8f1b1d62b8993f1a00c3540daef0127e57d204a2ceb1:2-3:12-15
33IXYHIZB5UGEM4V8H8EAJV6O0G2EW,138ceae61b1bcdfb9ce31fa275e917b49c2b06efe16dc62f812ab1a37eef4888:0-1:3-4
3FULMHZ7OU9OTOBVTTFLG6XDH4LM4V,138e4c1d8d42e25ea80212d92c06f16f6ddbcc5532721e842baef1534e6c87bc:3-5:15-17
3YD0MU1NC2DKAAKPYONNARMND2R7AA,13ac6c19eb29d9cc706d49012aeeb89a3de4c859ca03220f219af562d4d0ff75:6-7:12-13
3LB1BGHFL2884QFZRX44I9WC6OJTYD,13ac8e3be35edf719585fd3e1828d8e4499d2ea80160b6866294d86be14eda4b:0-1:12-14
3NZ1E5QA6ZDA6GBYG98M7ISX5Y15BD,13e1b303a937f851d8c6d5c307b2810d3621dc4ea8616ccabb4f2a07488991ba:0-1:6-7
39O6Z4JLX29YHDTERWIH0DDO1S2VX0,14401e63d7976cd7e2c860d131bdf82f0878fc170923e59531a68e9082df112e:9-10:11-13
39WSF6KUV2XULTT0VF6BHWY9O6ZOEC,14519556022e192f99df45c0ddfae81a5f6ff7bea76ed8090dd49cce5dabd15d:0-2:10-11
3IV1AEQ4DRPZBHSC2ZS6HQL1FWMJ8V,148914babcd1806b1e91cfd371138611bf0319a55b32c0d040ecc56588a8bb19:10-12:0-1
3THR0FZ95P58RZ3SC1TFUROTYDDLOU,1505fa247f27bb9bbf5181a5e0e2a425fe3ed4ce9f58d81ca82d42c0e82ba8c0:0-2:9-10
39N6W9XWRDZ4ZLTT7X5XJQHNH0JGYC,151374aed98c22921d51f0a6eb13ca97c9faa9eae00fe49f341421ac543c2fa3:0-4:15-16
3EKZL9T8Y8Y5WENZVB5Q7Z15TBECHX,1575b2f95088d90b7b57626529f0522e93df82fbb93065dacb7c6f5b30a7e256:25-28:35-36
3G9UA71JVV6VB3NTSU003QP64CGJ78,1595565d5255c985aab186f49fe5b2de5012a5e358d173da3575082b9f4c4e56:0-1:33-34
37SOB9Z0SS9J5AA6T39N6OQI4ZX3LO,159b0bf97283cf737a066dfa31ca3b8a40cdcb684be80768fc7b5d7024d87bf8:0-1:6-7
3DGDV62G7OLKBDTLHVOP4VUA2T42PB,15dfa3c1b22baf8baa3386962553eccef54fb44883329a372d86c479fa3f3c51:0-3:18-20
371QPA24C20BEK4WF8XV4ML208I1T6,15fc290db2ab4047ddf541486f3b57a0ee9c38638e3fca52106e32abb50f7c7d:0-3:10-15
3XDSWAMB224I97M2E1SKGDT6JG2QCY,16085ed557dde58e59652542b2ddbaeb95af88784f2383579fab53748813f18d:8-9:2-3
3P4ZBJFX2VFUWG2YHCHRG8WV4HPFWQ,167670fabfb0099fc52aefd5efbec89f91a52342eac09f3249c3bc1e187663c3:9-11:22-23
3BKZLF990ZBVCAN7ATA9D4LPM3UQYE,16844a2ddd781bf254fec7d7411dd84b34b40c0aaf44107d48c1f676d3d99e16:40-42:21-23
39O0SQZVJNJC9R660Z995HBXE4DR7X,16b4e8dbcdce07b6428fd3c3620afbf0e807d54dea35281604ced777a2a7c62e:8-9:11-13
3W3RSPVVGS3344NP8N5OTXGIHQLULJ,16ba927d4101c2eb636a5b8e928224271b482cfb6a7e4315b9427554439fbe09:13-16:20-21
3R5LWXWHR0KFZG3J21JV0CAEFRGXG8,16cca7e1c7898a62c7ee21c97315bc400d8755cb6b3546473ea4536fa21806e6:14-16:17-18
3XD2A6FGFN6SOPUCUL7Y9N7ZVWK9SF,16cf31b619766bf833d4f4d453fed42c56cc36aef84ad488bc1e41951872c3dc:0-1:11-12
3421H3BM9ATZPMBM7RYKHMGCZPM9J2,16d80f2bab2191c806edf53638aa9a7f1f24090593326c45c636226678e36b56:4-6:7-9
3J5XXLQDHMNM1FM077BTTXOKVCMV3G,16f1a79093c1a3a0f81c9e52905f634cb18230c7bf8ef5996239a6ec68b74740:29-32:7-8
3ZUE82NE0ADJ6F6GJ91L2ST9MAM8F4,17400fe8193dbaccea793c801b2601618530b35d2bbbf22f13f6361e8b4b50a4:2-6:7-8
3TC2K6WK9GEZ5LU4VEMEI9ZKDXI28X,179aa124ec482f40b4cd636980d5c50a76d4419d0a1046d1efdc3a42f5c7e8e0:0-1:34-35
3421H3BM9ATZPMBM7RYKHMGCZ24J9K,17b2294a3f9ee238fa0fe902f1a40e1ceb2a2600e94e68cc165cc8e04cfd3174:19-21:10-11
3O71U79SRB17V9D6JUB3E9DJVW5SMD,17c5b8e5ec503f48cee71dab022b975c46c58e4e7f1be3042e7c6dbdd62cef8a:5-6:7-9
3FI30CQHVKV6PKBCLSIRZO6X2WL6BA,17c989ea5458e2d8b4ea7d9ecb7c2051899e55d93b7278816ab48a195d3fdffe:1-2:15-18
3VO4XFFP15YCXQR6NKK90R1SIJPQ7B,17cff4f80efaeb74cf829f73425d074fcbe37e98a8e82f6aab7759cf01519145:0-2:4-5
3IVEC1GSLPBH0H8R3EJR2GYT1QGJ1B,17fa20e9db496dc15c117908f530410e6ce3eb42d6b4fa1e9a8560d94c4fb0e9:0-1:10-11
3GVPRXWRPH6ZGS3NACF0RPA6SCCI7B,18002cb051b3987acde5e9a1a8986bd845743b6c913f7467d8e4064807cc1f82:3-5:8-9
36D1BWBEHNDEQAW8PFWXNR0FXOT2MF,181b6206df77577af6faa92a24f942cbbdea4b4107622705228f525495fb9115:12-14:25-28
3L2OEKSTW9MP66NBOZT9RD0PT0T8YD,1825b7af278a06e3315b31decde4d99ef2fe9bd0b528884b4088d08e045c14c6:0-1:37-39
3ZURAPD288Z1VFMVKOS6NI6184G1FD,1826d5866a23d93abaf9492ec623a327ee29f8a89a3968255e245a8e77c44aaa:8-10:19-20
3O71U79SRB17V9D6JUB3E9DJVIRSM7,1884a47a751d626496afec5ca0fc562a13c0812c77c8e8beb884885f9d99ae9f:6-7:25-28
3I6NF2WGIG86XXJ9WV008TJULYH5GS,18937f816bca77b347adb31bcdeee720ab2f3bc7677d50909235dbfbd940d185:4-5:6-8
3VO4XFFP15YCXQR6NKK90R1SI5BQ75,18987a8f625dce1cef5694d7e42995b84e00500da9b7805b189adaafe3ca7d44:0-2:19-21
379OL9DBSSQPKB6LTRZNR9V0DLY9YK,189eb7f730520495972fcd17f49ebec07c63a91443208849febb7338b7ecdaf2:14-16:12-13
3LEG2HW4UFZ8K04R3SSKS1G613G2F4,18dd8522f3abde7fc0dadbed048b3343658bc836c5ca303af07f959ad5da9856:0-2:18-19
391JB9X4ZYK97Q0YEL21NNM9DK2KMX,18ea2dcee1b4bb3a4c7495240754961a58972ea158f3794ef13b495fb69ed37d:15-18:19-21
3QO7EE372OZZZ2UW01WP5TNO1HBQB8,190db14997d3f7578dd783a364ccd4d14343b64e485ce366347a759630c92fe8:14-16:17-19
372AGES0I4H6O6CXICD7ZGOLGKSXR8,1913f2d6dd10bba3503b750ab6e49360a6ee58589cf04538c72d9898ca39d61a:25-28:22-24
3TX9T2ZCB9D01XTYIOBYJ0CDGDJWZD,194a6808c6ee2c8f54da849c03b4fae003066ef20316be8f81f279f73b3cc3af:3-4:20-22
3LB1BGHFL2884QFZRX44I9WC7URYT3,19a0b7896152198159c4ac06e95d40b1f43b762fe6e2d24d7af75ab0d0685636:2-4:9-11
3ZVPAMTJWNFV2KH7T2D3BUOQEC4GR8,19a170f6f6d27f2afa4aa9e47813aa483092e7176ee3435cf0cdce929b4cd6ec:19-20:3-5
389A2A304OUULEH3X3Y5172O6ZIC0A,19bf8a95c67c0839c1ad616505f7f40bbd699a2cea8fe410b2a030da15d07ca8:26-27:6-8
30QQTY5GMKW4PJYN4T4EASYHL4VU7K,1a36ea5daa1ce4be8a11e5b41050194d13c8905f7328db64a2ba06ae33d7919f:16-17:2-3
3MQKOF1EE20XYWO2Q6M1S8TASUVWDY,1a594ad2039d1e46e3bf678e479513e70d7277d8326951ea88b4a5a22bbfabb7:0-1:8-9
3P888QFVX36JIWJ5461BBDNN8J0QOO,1a5a5131d154b093806c0e9881f5b07a43fd672d1cb645d18a4592fcb24de11d:9-10:6-9
3PUOXASB57FPP1GQPD165G42IX69ZE,1a81f9d26050bf3fe815cbeb43b42cd8a0b6642e89e8104bc8b3d5f35a78ec22:26-28:30-33
3WRKFXQBOBJIVCZOXL5042U3VW0YIC,1a9ed88148f6276d5cc9b3f786a140bb8bb9cd5b233fa8f175b25b43cdd8f00e:5-11:14-15
3NSCTNUR2ZZ5N666AV8QC78RNHV5AZ,1ada238d38545f30a7b35e1178092436567aeebb5853011587147be6fcaf9be5:29-31:37-41
3U74KRR67MXESRBLKVVT1TY53ANTN8,1b0dcde048ce5ae0395f20641567a58a65981a986617383c5240a6aae9176ee3:24-27:3-5
3ABAOCJ4R8GVITYTRQMYJ9YIEBOMQT,1b242858d0c7c1deacb2bfef4e2c46b42e32a45ec8b5ad41b29cee7445efae4c:0-3:9-10
3NBFJK3IOHUS57PR1AWZHZJL3QKOG9,1b656a125ed347a4649c19a2dc356b9a8bc81aa4f8d8e266530c67433ce08e86:28-30:40-41
3RTFSSG7T8IGW8CU3NKPBL1F05ZLW8,1b738953a8fa22d4e0ee7bb08cff73da00430d6583a2d1dded0be1cf4ac1f1dd:7-9:0-2
3T5ZXGO9DE0VH0XC6FCSRBURTGVZQE,1b738953a8fa22d4e0ee7bb08cff73da00430d6583a2d1dded0be1cf4ac1f1dd:7-9:0-2
3LG268AV38IXI6LGN7NFBR3E0RHREJ,1b8970981c5525155a710b9556f08e2fab938c0ea5db1583feb7e5cc9965ccf5:0-1:16-17
3MGHRFQY2L17OHI8TVGUYYU7A2H0YI,1beefd3f5f9b25cb657c8954ae5ae07ce2d21e53d22c74745b0adc8da656503a:0-2:17-18
3QX22DUVOOTNN1UADPG8PWXQV5TMVH,1c555d4b80c61ecfb4325cd9877eda6a652bd4b9b52a6f95b368523bb0c09a1a:0-1:4-6
3BFNCI9LYK2KQPL4P98DNJ8H8FV37H,1c60a2a330d77da0e7c494097768c6787b4722781e9ab0380567450e32b56049:4-6:7-10
3ZFRE2BDQ9QFQXYOST7KLJQKQHAZXZ,1c8acba73d6cdc660ce1b54792a4d18d297a8ae805c96ce1924539882066d766:5-7:8-10
366FYU4PTG1BV28LXNEIAFH041PEKI,1c936e039d4c3e1153a91784e2704652a480547aa4ba64bbef90488a02cf2772:5-6:19-20
3LXX8KJXPWLDQX2JN4QPPIXYYJWO90,1cec48f4e65e2eb9946614b0279f11bb19a79e20d03359beb32954134e6ddb95:5-6:3-4
37PGLWGSJTINB7A7T649VUFSXEGKIM,1d08417cc9989094e98df9b0720ecabb368db321b1f01bfd8c95e4debb726444:14-16:23-24
3VMHWJRYHVS9LG7ORHDDIRA2EFWXFV,1d53bad646d67f65ea602bd9e60f9b6c06485d9d4edb636a0371ef86abeaa128:4-6:17-18
3BS6ERDL93JZ4H9WZO9XUEUX3BQD63,1d70f8205e07c68df3a470c2f4a72c663cef3ceb5d624fc0b22a121ede67c2f3:14-16:20-22
3MJ28H2Y1EKUPA07KED8D2SWCNDO59,1d8f5d4d92b68240f3660e5e30e49c92dd5057f9f5b4c478a43434162df006c1:0-2:3-4
3PR3LXCWSFB0K6GBOVDL8VORBF49XE,1da452e3c782369c4f3559a6f21f5222ce2f9eeabcc670ae490b9ac545063832:0-2:6-7
37J05LC5AXVBSCO3J73M3IZ2RNHDJU,1de535e2b2b79649da5a3e2e05e9e1a42c2246d5ab62b82cbee9832acb53296d:0-3:13-14
3ECKRY5B1Q8I029TT77JI9351AGIZ3,1e59f5fa8bab9c984cee71156d392509020fdef3be61ec3dd9f669980fa367a1:13-14:9-10
3FHTJGYT8NCAQ71SGA9E6ZOBDUGGPG,1ebc978b01e5b44674cd75685954830a815b51d4e9b7681c370ea23586459b55:19-22:6-8
3HXK2V1N4KREY00MECY2AMGI1GV2GD,1ef99a3eb1bae4c96a79724c6c33a715e92a33c20b4439e39b707bbb33d3d4f7:0-2:4-5
36U4VBVNQOPE72I2D72KF9PHNIAUR9,1f5b952543e2113338740267d691510f2ee1d765524ac8e5b8f9f60104bc4569:10-12:6-7
3MIVREZQVHA0S5YQ6E9I4W6ENLZKQK,1f66fe74b472a5806cec366de2d92078739e972d609a49748bc4dd192f062ee2:18-19:1-2
3OEWW2KGQJNPTNF0ZKVRBEGOOUYODJ,1f69993166ba024750efacb843c05105ca494034754e874f3669ac34594ee444:1-5:27-28
33W1NHWFYHX89GP4NJ6NWG5ECINTZ4,1f79702f846fdef5b2e9e545e6639245d18b6d9840f9f45c608fdb7d897b8cab:0-3:10-11
3FDWKV9VCNENAM5A8Z63TAV7HWUMUY,1f86c1164d14c381b989465d565da75eebc544d09c33673bfdcfd3d3f91be77f:25-27:20-22
3RDTX9JRTYD65RAK6I9NEWB37K979V,1fc0d66848bd985259d6c0e1e0101b4ed261fb9d6643b442fa6972de61e36098:12-14:15-16
