unit_id,input.sent_id,input.b1,input.b2,input.e1,input.e2,input.relation,input.sentence,input.term1,input.term2,worker,uqs,reason for ambig,max_rel,max_srs,none,org:alternate_names,org:place_of_headquarters,org:subsidiaries,per:cause_of_death,per:charges,per:children,per:employee_or_member_of,per:founded_org,per:origin,per:place_of_birth,per:place_of_death,per:places_of_residence,per:schools_attended,per:spouse,per:title,per:top_member_employee_of_org
1025625384,UAD-A-0799,3,6,4,8,"per:places_of_residence,per:place_of_death",He appeared on Charlie Parker 's Los Angeles Dial Records sessions and on Miles Davis’s hard bop Walkin ' session .,Charlie,Los Angeles,15,0.1775719344,,org:place_of_headquarters,0.2945482119,0.2801558335,0,0.2945482119,0,0,0.0362697987,0,0,0.0781118933,0.0733044175,0,0,0.2376098451,0,0,0,0
3G9UA71JVV6VB3NTSU003QP64NJJ7X,6b6b937b4219244d037a342a512d8155250880607c781c8f6080929d86331c16:17-19:6-7,6,17,7,19,per:place_of_birth,A memorial was held for the Argentine team during the 1952 Summer Olympics in Helsinki due to Eva Perón 's death during those games .,Eva Perón,Argentine,15,0.1790200939,,per:place_of_death,0.3010912868,0.2871587497,0,0,0,0,0,0,0.2454277833,0,0.0422691058,0.0422691058,0.3010912868,0.24319903,0,0.0422691058,0.0712214253,0.1098488702
1018279632,UAD-A-2095,30,5,32,6,"per:places_of_residence,per:origin","The Revolutionary Armed Forces of Colombia ( FARC ) announced Tuesday they had ordered the release of three hostages , including Clara Rojas , kidnapped in 2002 alongside French-Colombian politician Ingrid Betancourt .",Ingrid Betancourt,Colombia,15,0.1804360077,,none,0.2847700524,0.2847700524,0.002104492,0,0,0,0,0,0.2726156584,0,0.2489642221,0,0,0.1979514207,0,0,0,0.2007891528
946357947,UAD-A-1328,15,10,17,11,"org:place_of_headquarters,per:places_of_residence","Malia and Sasha Obama currently attend the private University of Chicago Laboratory Schools , where Michelle Obama is on the board .",Michelle Obama,Chicago,15,0.1805645403,,per:employee_or_member_of,0.3290351444,0.3052211968,0,0,0,0,0,0,0.3290351444,0,0,0.0380688979,0.0349554626,0.0625492618,0.1692127015,0,0,0.1724993505
1023035825,UAD-A-1562,6,12,9,13,"per:places_of_residence,per:place_of_birth","Panchathan Record Inn is music director A. R. Rahman 's studio at Chennai , India .",A. R. Rahman,Chennai,15,0.1818041074,,none,0.3297822033,0.3297822033,0,0.2029557839,0,0,0,0,0.0295585206,0,0.1493622978,0,0,0.2683218282,0,0,0,0.108694928
3JHB4BPSFKLGB9FZ2HITENSYCA19QV,067d4705169ba11da4a48304b16468c95c0ac627c852fbe6f2ddd2d7ef428846:25-27:14-16,14,25,16,27,per:employee_or_member_of,"Having graduated at the Folkwang academy , she continued her professional education at the Kunstakademie Düsseldorf ( Dusseldorf art academy ) as a student of Joseph Beuys from 1970 till 1974 .",Joseph Beuys,Kunstakademie Düsseldorf,15,0.1824404076,,per:employee_or_member_of,0.4418735941,0.2045018864,0.0400394086,0.1368175452,0.0127761667,0.0272632419,0.203487139,0.0272632419,0.4418735941,0.0490618394,0.0272632419,0.0272632419,0.0272632419,0.0272632419,0.1510563503,0.0272632419,0.0272632419,0.0400394086
949662631,UAD-A-1940,5,14,7,15,"per:employee_or_member_of,per:place_of_birth",The case comes as President-elect Barack Obama is pledging to quickly shut down a U.S. naval facility roundly condemned by the international community and many legal scholars .,Barack Obama,U.S.,15,0.1832575754,,per:top_member_employee_of_org,0.3918935281,0.2350471438,0,0.1610981524,0.0713162047,0,0,0,0.148253558,0,0.0525817505,0.1769620135,0,0.2654337933,0,0,0,0.3918935281
1028675376,UAD-A-2113,12,10,14,11,"per:origin,per:place_of_birth","The song was performed twenty-first on the night ( following Estonia 's Tanel Padar , Dave Benton and 2XL with `` Everybody '' and preceding Greece 's Antique with `` ( I Would ) Die For You '' ) .",Tanel Padar,Estonia,15,0.1854944731,,per:places_of_residence,0.4168107952,0.2199462229,0,0,0.1495786978,0,0,0,0.0857971932,0.0436416407,0.2338041481,0.0824899344,0,0.4168107952,0,0,0,0
956145183,UAD-A-0932,4,30,6,32,"per:place_of_birth,per:origin","However , incumbent leader Donald Tsang is widely expect to win his second term because the top job is picked by an 800-seat election committee which has been loyal to Hong Kong 's political overlords in Beijing .",Donald Tsang,Hong Kong,15,0.1857173457,,none,0.3474278782,0.3474278782,0,0.0461813393,0,0,0,0,0.1376830534,0,0.2493619652,0,0,0.1811204253,0,0,0,0.2193457638
3S1WOPCJFG5GKI23F2E690HNRGVEJZ,10337ae65389423272b2d5b65658e6b136ab2ff9a9f0cfac914a5d3b05b045a7:8-11:3-4,8,3,11,4,org:subsidiaries,The 1980 Arizona Wildcats baseball team represented the University of Arizona in the 1980 NCAA Division I baseball season .,Wildcats,University of Arizona,15,0.1861707182,,org:place_of_headquarters,0.3484480226,0.2106672699,0.1665559287,0.3484480226,0.1704175305,0,0,0,0.2310639123,0,0,0,0,0,0,0,0,0
946357956,UAD-A-2232,4,21,6,23,"per:origin,per:employee_or_member_of","US-OVERSEAS DONORS WASHINGTON -- Barack Obama 's presidential campaign is promising to refund unlawful foreign contributions it accepted from outside the United States , discovered during Associated Press interviews with donors in 11 countries .",Barack Obama,United States,15,0.1877943215,,per:places_of_residence,0.3746162545,0.2060782243,0,0.057119425,0,0,0,0,0.1944887313,0,0.0667576022,0.1320380004,0.0993348272,0.3746162545,0,0,0,0.2775800568
946357958,UAD-A-1998,12,7,15,9,"per:place_of_death,per:places_of_residence",The Incline powering mechanism was designed by San Francisco cable car inventor Andrew Smith Hallidie .,Andrew Smith Hallidie,San Francisco,15,0.1902400494,,none,0.3548917886,0.3548917886,0,0.0441431017,0,0,0,0,0.0681879068,0,0.076826245,0.1854789189,0,0.2704720391,0,0,0,0
958116195,UAD-A-0475,0,20,1,21,"per:place_of_birth,per:place_of_death",Chaucer wrote many of his major works in a prolific period when he held the job of customs comptroller for London ( 1374 to 1386 ) .,Chaucer,London,15,0.1908563576,,per:employee_or_member_of,0.3423518254,0.1596446691,0.0002008284,0,0,0,0,0,0.3423518254,0,0,0.0002008284,0,0.2718816201,0,0,0.0598857294,0.2249471119
3ZFRE2BDQ9QFQXYOST7KLJQKQHAZXZ,1c8acba73d6cdc660ce1b54792a4d18d297a8ae805c96ce1924539882066d766:5-7:8-10,5,8,7,10,org:subsidiaries,"The poll , conducted by Chapman University 's Chapman College Survey group for The Orange County Register , showed Cox leading in the Republican primary with 15 percent to Rosenberg 's 13 percent .",Chapman College,Chapman University,15,0.1912653229,,org:subsidiaries,0.3192627965,0.2928406319,0.0656614547,0.210489822,0.3192627965,0,0,0,0.111745295,0,0,0,0,0,0,0,0,0.0382763197
1018789813,UAD-A-1988,24,28,26,29,"per:place_of_birth,per:places_of_residence","The game against South Africa will be played in Siena. -- -- -- Italy Roster : Goalkeepers : Marco Amelia ( Livorno ) , Gianluca Curci ( AS Roma ) .",Gianluca Curci,Roma,15,0.1919614724,,per:employee_or_member_of,0.3759673463,0.2151567297,0.247302376,0,0,0,0,0,0.3759673463,0,0.0924188933,0.0301203589,0,0.1242290505,0,0,0,0
1018279633,UAD-A-0166,0,13,2,14,"per:places_of_residence,per:employee_or_member_of",Arnold Schwarzenegger signed two anti-trafficking bills _ one making trafficking a felony in California and another calling for the creation of a broad anti-trafficking task force .,Arnold Schwarzenegger,California,15,0.1924400606,,per:top_member_employee_of_org,0.3265806213,0.3065350688,0.002104492,0,0.002104492,0,0.0395164162,0,0.2811287937,0.002104492,0.1250329014,0,0,0.2359717155,0,0,0,0.3265806213
3OJX0UFJ0ZJ832MGJQ2YOOPNFV79U0,e72ec8d2703c82a2f42041818cfff8f75f015a1998bcefb35173b0c13c7c0b66:12-14:14-15,14,12,15,14,org:alternate_names,"As a coach , Naviaux served as the head coach for the Boston University Terriers from 1969 - 1972 and the University of Connecticut Huskies from 1973 - 1976 .",Boston University,Terriers,15,0.1943283665,,none,0.3605259485,0.3605259485,0.1800177864,0.1593632362,0.2694994419,0.0390537219,0.0265920777,0.0265920777,0.0390537219,0.2831341457,0.0265920777,0.0265920777,0.0619844728,0.074446117,0.1052298061,0.0265920777,0.0265920777,0.0390537219
1028951388,UAD-A-0892,3,13,5,14,"per:origin,per:place_of_birth","His son , Lau Lauritzen Jr. also went on to become one of Denmark 's leading directors in the 1940s and 1950s .",Lau Lauritzen,Denmark,15,0.1943765405,,per:top_member_employee_of_org,0.3913968274,0.129104303,0,0,0,0,0.0673391455,0,0.0773581328,0,0.1771877629,0,0,0.2349719611,0,0,0,0.3913968274
1018279621,UAD-A-0777,15,14,17,15,"per:places_of_residence,per:place_of_birth","Hamilton became the first rookie to make the podium in his debut race since Canadian Jacques Villeneuve took second at the 1996 Australian GP. Hamilton was understandably pleased by his performance , which even saw him leading the race for four laps .",Jacques Villeneuve,Canadian,15,0.1950859065,,per:origin,0.4590799296,0.2199689268,0,0,0,0,0.0817516149,0,0,0,0.4590799296,0.1717862169,0,0.170883491,0,0,0.1306274561,0.0234342158
1028675394,UAD-A-1050,10,1,12,4,"per:place_of_birth,per:places_of_residence","In Madrid , Spain , European Union foreign policy chief Javier Solana said Thursday that he had raised his concerns over Esfandiari 's detention when he met with Ali Larijani , the chief Iranian nuclear negotiator .",Javier Solana,"Madrid , Spain",15,0.199729409,,none,0.3519645339,0.3519645339,0,0.0198914175,0,0,0,0,0.1061606011,0,0.0687074344,0,0,0.1380729193,0,0,0,0.3152030939
1020756185,UAD-A-1613,28,20,30,22,"per:place_of_birth,per:places_of_residence","Plot L.A.P.D Detective James Carter ( Chris Tucker ) is on vacation in Hong Kong , visiting his good friend Hong Kong Police Force Chief Inspector Lee ( Jackie Chan ) .",Jackie Chan,Hong Kong,15,0.199890257,,none,0.3613612162,0.3613612162,0.0018734731,0,0.0018734731,0,0,0,0.2113150578,0.0018734731,0.0739292686,0,0,0.2872493598,0,0,0.0642114062,0.114239684
1025637347,UAD-A-0435,18,12,21,15,"per:employee_or_member_of,per:places_of_residence","Campaign officials said the running mates will attend the funeral Saturday in Cleveland , Ohio of Democratic congresswoman Stephanie Tubbs Jones , who died a week ago of a brain aneurysm .",Stephanie Tubbs Jones,"Cleveland , Ohio",15,0.2019691363,,per:place_of_death,0.3958244222,0.3005517288,0,0,0,0,0,0,0.1421407499,0,0.1588913379,0.0381720483,0.3958244222,0.2544689429,0,0,0,0.11309835
958116217,UAD-A-1975,1,10,5,15,"org:place_of_headquarters,org:subsidiaries","The Fashion Institute of Technology ( FIT ) is a State University of New York college of art and design located in New York City , New York , United States .",Fashion Institute of Technology,State University of New York,15,0.2023615844,,org:place_of_headquarters,0.3118362904,0.2629893682,0.2244431428,0.3118362904,0.2007311987,0,0,0,0,0,0,0,0,0,0,0,0,0
1018789814,UAD-A-1406,35,20,38,22,"per:employee_or_member_of,per:founded_org","Moore married Grant Tinker , an NBC executive in 1962 , and in 1970 they formed the television production company MTM Enterprises , which created and produced the company 's first television series , The Mary Tyler Moore Show .",Mary Tyler Moore,MTM Enterprises,15,0.2026608303,,per:founded_org,0.3748602723,0.3082962576,0.0023592745,0.1016576548,0.0023592745,0,0.107737169,0,0.1074486463,0.3748602723,0,0,0,0,0,0,0,0.1074486463
1028952339,UAD-A-1679,30,25,32,29,"org:alternate_names,org:place_of_headquarters","Rather , he said , discussions started when he got a phone call Saturday morning from Merrill 's CEO , John Thain , who led New York Stock Exchange operator NYSE Euronext before taking the helm at Merrill in December .",NYSE Euronext,New York Stock Exchange,15,0.2033942132,,none,0.3434430516,0.3434430516,0.1412119875,0,0.3117177228,0,0,0,0.1894051743,0,0,0,0,0,0,0,0,0.1040464009
1018628261,UAD-A-0237,0,7,2,8,"per:employee_or_member_of,per:place_of_birth",Barack Obama and others about possible unilateral U.S. military strikes against al-Qaida in Pakistan .,Barack Obama,U.S.,15,0.2040732652,,none,0.4085719635,0.4085719635,0,0.0419040371,0,0,0,0,0.2578011821,0,0.1288199338,0.0932027978,0,0,0,0,0,0.1705913982
1018279659,UAD-A-1267,8,12,10,13,"per:place_of_birth,per:origin","Leaders from Britain and her former colonies named Kamalesh Sharma , currently India 's ambassador to Britain , as the new Commonwealth secretary-general , said Don McKinnon , the outgoing secretary-general .",Kamalesh Sharma,India,15,0.2057922565,,per:origin,0.360548023,0.0950600247,0,0,0,0,0,0,0.2878815591,0,0.360548023,0.1475442894,0,0.1554922409,0,0,0,0.3457719343
950982076,UAD-A-0137,15,13,16,14,"per:places_of_residence,per:place_of_birth","Apart from appearing regularly under his own name at jazz clubs such as London 's Ronnie Scott's , Griffin became the `` first choice '' sax player for visiting US musicians touring the continent during the 60s and 70s .",Ronnie,London,15,0.2065928587,,none,0.3298331724,0.3298331724,0.0813060664,0.2186565473,0,0,0,0,0.0490983975,0,0.0483893112,0,0,0.3211058164,0,0,0,0
950346209,UAD-A-1512,9,20,11,21,"per:place_of_birth,per:places_of_residence","On April 1 , 1907 , the renowned writer Natsume Soseki , then 41 , resigned his teaching positions at Tokyo Imperial University , now Tokyo University to join the Tokyo Asahi Shimbun .",Natsume Soseki,Tokyo,15,0.2078793754,,per:places_of_residence,0.3570555223,0.2921009843,0,0,0,0,0,0,0.2756686091,0,0.0315714507,0,0,0.3570555223,0.0672878797,0,0,0.1104385655
3RQVKZ7ZRKVV57PLL9U8493P1EZ723,0fdcd0b3aeacc3a1ba995763888807ba5c866e5041a2fb7fd7693f3d36638ada:20-24:14-15,14,20,15,24,per:place_of_death,"Víctor Alberto Gil Mallma ( 1930 ; Huancayo - July 14 , 1975 ; Lima ) , better known as Picaflor de Los Andes , was a Peruvian folk singer .",Picaflor de Los Andes,Lima,15,0.2091861489,,per:place_of_death,0.3995771189,0.1435696478,0.0519949067,0.0965901316,0,0.0116312544,0,0,0.0965901316,0,0.0723359676,0,0.3995771189,0.3723992082,0,0,0.0711652546,0.0965901316
946357957,UAD-A-1910,19,23,22,25,"per:place_of_death,per:employee_or_member_of","That was two days longer than he actually served as governor in December 1942 , after the resignation of Herbert H. Lehman -- New York 's only Jewish governor before Eliot Spitzer .",Herbert H. Lehman,New York,15,0.2092546062,,per:employee_or_member_of,0.3643117638,0.1548199103,0,0.0697390271,0,0,0,0,0.3643117638,0,0.0200411689,0,0,0.3531107065,0,0,0,0.1861634898
1018789616,UAD-A-1004,36,40,38,41,"per:place_of_death,per:places_of_residence","In 2003 , historian Lisa Jardine claimed that a recently-discovered portrait was of Hooke , but this claim was disproved by William Jensen of the University of Cincinnati and by the German researcher Andreas Pechtl of Johannes Gutenberg University of Mainz .",Johannes Gutenberg,Mainz,15,0.2102746094,,org:place_of_headquarters,0.3589555065,0.3084041865,0,0.3589555065,0,0,0,0,0.1877048445,0,0.0952861238,0,0,0.0753281061,0,0,0,0.0496493386
37VHPF5VYCFC33M6S7BKUM86OPIC84,5b17bda880bd84b074d009414da27ea4aefb9d1de65a4777695057cd3eadc134:19-20:13-14,13,19,14,20,per:employee_or_member_of,"Clinton won the endorsement of the state 's largest union , the 43,000-member Hawaii Government Employees Association , and Inouye , the dean of Hawaii politics .",Inouye,Hawaii,15,0.2106365774,,per:top_member_employee_of_org,0.4557862836,0.1130985525,0.1179291092,0.1204255193,0.0112977587,0.0241084462,0.0354062048,0.0354062048,0.3425903499,0.0112977587,0.0241084462,0.0241084462,0.0241084462,0.2314841327,0.0241084462,0.0241084462,0.0241084462,0.4557862836
1023973247,UAD-A-1268,8,5,10,6,"per:place_of_birth,per:origin","Leading cultural figures , including Italian film director Bernardo Bertolucci and Nobel-winning Portuguese author Jose Saramago , threw their support behind Spain 's Socialist prime minister on Wednesday , just four days before a general election .",Bernardo Bertolucci,Italian,15,0.2110072914,,none,0.3510291094,0.3510291094,0,0,0,0,0,0,0.0464661845,0,0.2334143033,0.0367193459,0,0.3109837256,0,0,0.1416602477,0
1020756168,UAD-A-1056,10,1,12,2,"per:place_of_birth,per:places_of_residence","In Paris , she frequented salons , especially that of Nicolas Fouquet , superintendent of finances to King Louis XIV. Madame de Sévigné 's most amusing correspondence before her daughter 's marriage was addressed to her cousin and friend Roger de Bussy-Rabutin .",Nicolas Fouquet,Paris,15,0.2114973319,,per:places_of_residence,0.3811959104,0.3000986175,0.0368103951,0.1835979123,0,0,0,0,0,0,0.0756327463,0.0878240476,0,0.3811959104,0,0,0,0
950346205,UAD-A-0737,1,13,3,16,"per:place_of_birth,per:origin","Fundació Joan Miró , Centre d’Estudis d’Art Contemporani , Parc de Montjuic , Barcelona , Spain ; `` Los novísimos cubanos .",Joan Miró,"Barcelona , Spain",15,0.2118390865,,none,0.4112521995,0.4112521995,0,0.1957128291,0,0,0,0,0,0,0.1362525526,0,0,0.1870631335,0,0,0,0.0697192853
1019685453,UAD-A-1003,6,15,8,16,"per:employee_or_member_of,per:places_of_residence","In 2003 he appeared with actor Arnold Schwarzenegger , during his drive to recall incumbent California Governor Gray Davis .",Arnold Schwarzenegger,California,15,0.2119819626,,none,0.4041092388,0.4041092388,0,0,0,0,0,0,0.2203509848,0,0,0,0,0.0525117711,0,0,0.2049964747,0.1602343529
1025625363,UAD-A-1624,36,2,38,4,"per:employee_or_member_of,per:origin","POLOKWANE , South Africa 2007-12-16 09 : 15 : 35 UTC The ruling African National Congress on Sunday opened its conference to elect a new president amid bitter divisions between incumbent Thabo Mbeki and his deputy Jacob Zuma .",Jacob Zuma,South Africa,15,0.2132589871,,per:top_member_employee_of_org,0.3553886364,0.0822644221,0,0,0,0,0,0,0.2428910785,0,0.0819553827,0,0,0.2989167741,0,0,0,0.3553886364
1018628230,UAD-A-0541,25,10,27,13,"per:place_of_birth,per:places_of_residence","David Joseph McGuinty ( born February 25 , 1960 in Ottawa , Ontario ) is a Canadian politician and the brother of Premier of Ontario Dalton McGuinty .",Dalton McGuinty,"Ottawa , Ontario",15,0.213261472,,none,0.4400333535,0.4400333535,0,0.0457240131,0,0,0,0,0.077373143,0,0.1439268911,0.181057303,0,0.0595036156,0,0,0,0.1297548238
897534807,UAD-A-0460,0,22,2,25,"per:place_of_birth,per:places_of_residence","Charles Rangel , D-N.Y. , chairman of the House Ways and Means Committee , and David Dinkins , the former mayor of New York City .",Charles Rangel,New York City,15,0.2137975689,,per:employee_or_member_of,0.3206568804,0.2499789904,0.0022232155,0,0.0022232155,0.0022232155,0.0022232155,0,0.3206568804,0.0022232155,0,0,0,0.1315066626,0,0,0,0.3000806821
3RTFSSG7T8IGW8CU3NKPBL1F05ZLW8,1b738953a8fa22d4e0ee7bb08cff73da00430d6583a2d1dded0be1cf4ac1f1dd:7-9:0-2,0,7,2,9,per:top_member_employee_of_org,"Doreen Bird was principal of the Doreen Bird College of Performing Arts until her retirement in 1998 , when she appointed Sue Passmore as Principal and Executive Director .",Bird College,Doreen Bird,15,0.214678813,,none,0.3524841968,0.3524841968,0.0122802534,0.0122802534,0,0.0122802534,0.1693836773,0,0.2961859952,0,0,0,0,0,0.0426158572,0,0,0.3082261359
1023035809,UAD-A-2268,5,16,7,17,"per:places_of_residence,per:place_of_death","Very well-known were the mathematicians Stefan Banach , Juliusz Schauder and Stanislaw Ulam , who turned Lviv in the 1930s into the `` World Centre of Functional Analysis '' .",Stefan Banach,Lviv,15,0.2161583174,,none,0.4456342655,0.4456342655,0.0020772965,0,0.0020772965,0,0,0,0.166235045,0.0738631841,0.076156592,0,0,0.1895771543,0,0,0.048533759,0
1019741428,UAD-A-0672,31,22,33,26,"org:subsidiaries,org:place_of_headquarters","Eurex is owned by Deutsche Boerse and SWX , the Swiss stock exchange , while Euronext.Liffe has been subsequently acquired by the New York Stock Exchange and is now known as NYSE Euronext Inc .",NYSE Euronext,New York Stock Exchange,15,0.2170829728,,org:alternate_names,0.3455600387,0.3418775782,0.3455600387,0.1049713757,0.1691247285,0,0.002748228,0.002748228,0.0357180508,0.002748228,0,0,0.002748228,0,0,0.002748228,0,0.002748228
1020756163,UAD-A-0457,0,5,2,6,"per:place_of_death,per:origin","Charles Jenkins , a former US Army deserter who spent four decades in North Korea before settling in Japan , was released Saturday from hospital where he had been treated for broken ribs .",Charles Jenkins,US,15,0.2171193014,,per:employee_or_member_of,0.3960543389,0.1617753736,0,0,0,0,0,0,0.3960543389,0,0.3863378071,0.1236950353,0,0.1913897495,0,0,0,0.0881959062
1023973170,UAD-A-1327,23,20,26,21,"per:origin,per:place_of_birth,per:places_of_residence","Maharishi Mahesh Yogi is cremated The body of the Maharishi was placed in meditation pose Thousands of followers of the Indian guru , Maharishi Mahesh Yogi , have attended his cremation in the northern Indian city of Allahabad .",Maharishi Mahesh Yogi,Indian,15,0.2175540081,,none,0.3428039192,0.3428039192,0,0,0,0,0,0,0.0274210211,0,0.3366876226,0.2154886766,0.0808531137,0.2407182623,0,0,0,0
1023973287,UAD-A-2280,4,11,6,12,"per:employee_or_member_of,per:cause_of_death","WARREN , Mich. - George Romney may be the closest thing Michigan politics has to the Rambler he popularized as chairman of American Motors : Everyone recalls him fondly , but no one seems able to remember why .",George Romney,Michigan,15,0.2213110664,,per:employee_or_member_of,0.3392094605,0.2945592739,0.0025970132,0,0,0,0,0,0.3392094605,0,0.074237563,0,0.0025970132,0.2776497303,0,0,0,0.2345634258
1023395315,UAD-A-0184,31,18,33,19,"per:origin,per:place_of_birth","Ask him what international filmmakers he admires and the list goes on and on , starting with the Italian greats , like Roberto Rossellini , Federico Fellini , Michelangelo Antonioni , Bernardo Bertolucci and Marco Bellocchio .",Bernardo Bertolucci,Italian,15,0.2213536228,,per:origin,0.4334222976,0.2825523507,0,0,0.0815851918,0,0,0,0.0815851918,0,0.4334222976,0.0795102823,0,0.2010780223,0,0,0.0808724198,0.0815851918
917047434,UAD-A-0963,10,14,12,18,"per:employee_or_member_of,per:origin","Impressed by the electoral success of the conservatives led by Ronald Reagan in the United States of America and by Margaret Thatcher in the United Kingdom , it gradually abandoned the Gaullist doctrine , claiming a less control of the state in economy .",Ronald Reagan,United States of America,15,0.2225361086,,per:places_of_residence,0.44961332,0.0664929271,0,0.2888498845,0,0,0,0,0.2349950319,0,0.152315306,0.1344590204,0,0.44961332,0,0,0,0.2287488879
1023035828,UAD-A-1828,40,36,41,38,"org:place_of_headquarters,org:subsidiaries","Since Reding set out her plans for a price cap -- saying operators had failed to heed earlier warnings to cut costs -- companies such as Vodafone Group PLC , Deutsche Telekom AG 's T-Mobile and France Telecom SA 's Orange have announced lower fees .",Orange,France Telecom,15,0.2225750888,,none,0.4737897769,0.4737897769,0.158503755,0.0839592059,0.1093067599,0,0.0413594945,0,0,0.0607766049,0,0,0,0,0,0,0,0.0723044029
